Name,Origin,Type,Color,Must Mash,Potential,Max in batch,Diastic_Power
Rice Extract Syrup,US,Extract,7,No,1.032,0.15,0
Rice Hulls,US,Adjunct,0,No,1,0.05,0
"Rice, Flaked",US,Grain,1,Yes,1.032,0.25,0
Roasted Barley,US,Grain,300,No,1.025,0.1,0
Rye Malt,US,Grain,5,Yes,1.029,0.15,75
"Rye, Flaked",US,Grain,2,Yes,1.036,0.1,0
Smoked Malt,Germany,Grain,9,Yes,1.037,1,0
Special B Malt,Belgium,Grain,180,Yes,1.03,0.1,0
Special Roast,US,Grain,50,Yes,1.033,0.1,6
"Sugar, Table (Sucrose)",US,Sugar,1,No,1.046,0.1,0
Toasted Malt,United Kingdom,Grain,27,Yes,1.033,0.1,0
Turbinado,United Kingdom,Sugar,10,No,1.044,0.1,0
Victory Malt,US,Grain,25,Yes,1.034,0.15,50
Vienna Malt,Germany,Grain,4,Yes,1.036,0.9,50
Wheat Dry Extract,US,Dry Extract,8,No,1.044,1,0
Wheat Liquid Extract,US,Extract,8,No,1.036,1,0
"Wheat Malt, Bel",Belgium,Grain,2,Yes,1.037,0.6,74
"Wheat Malt, Dark",Germany,Grain,9,Yes,1.039,0.2,10
"Wheat Malt, Ger",Germany,Grain,2,Yes,1.039,0.6,95
"Wheat, Flaked",US,Grain,2,Yes,1.035,0.4,0
"Wheat, Roasted",Germany,Grain,425,Yes,1.025,0.1,0
"Wheat, Torrified",US,Grain,2,Yes,1.036,0.4,0
White Wheat Malt,US,Grain,2,Yes,1.04,0.6,130
