Strain, Name,Species,Lab,Fermentation_Temp_Range_LOW,Fermentation_Temp_Range_HIGH,Apparant_Attenuation_Range_LOW,Apparant_Attenuation_Range_HIGH,  Flocculation, Alcohol_Tolerance, Notes, Best Styles,Substitutions
B45,B45 Gnome,Ale,Imperial Yeast,65,75,72,76,Medium-High,,"Gnome is the yeast for brewing Belgian inspired beers in a hurry. This strain is extremely flocculent and drops out of the beer quickly after fermentation. Gnome produces a nice phenolic character that goes well with hops, as well as with caramel and toffee flavors. Great for Belgian ales that need to be crystal clear without filtration.",Belgian inspired beers,
B48,B48 Triple Double,Ale,Imperial Yeast,65,77,74,78,Medium,,"The perfect strain for your classic abbey ales. Triple Double produces moderate esters with low to no phenolic characteristics. This strain is tried and true and works perfectly in a production environment. Keep an eye on Triple Double, it likes to sit on top of the wort throughout fermentation which may result in a slow  fermentation.",Classic abbey ales,
B51,B51 Workhorse,Ale,Imperial Yeast,65,75,72,77,Medium,,"Super clean, this fast-attenuating strain has good flocculation characteristics. High alcohol tolerance makes this a great option for big Belgian beers.","Saison, Belgian Stouts, wide variety of beers",
B56,B56 Rustic,Ale,Imperial Yeast,68,80,72,76,Medium,,Rustic typically produces a lot of bubblegum and juicy aromas that compliment complex maltiness.,"Saison, farmhouse ale, or other Belgian styles where high ester levels are important.",
B63,B63 Monastic,Ale,Imperial Yeast,68,78,74,78,Medium-Low,,"Monastic will produce beers with a high level of phenolic character and esters. It can be slow to begin fermentation but will easily dry out high gravity worts. This strain is a low flocking strain, so expect it to stay suspended for a long time.","abbey ales, especially quads; high alcohol and dark Belgian beers",
B64,B64 Napoleon,Ale,Imperial Yeast,65,78,77,83,Low,,"This yeast is an insane wort attenuator. Napoleon will destroy the sugars in your saison and farmhouse beers – even the ones in which most brewer’s strains have no interest. When all is said and done, Napoleon produces very dry, crisp beers with nice citrus aromas. Yeast settling times can be long, usually requiring filtration for bright beers.","Saison, Farmhouse Beers    ",
BE-134,SafAle BE-134,Ale,Fermentis,64,82,90,90,Low,,":Finally, a dry yeast highly qualified for producing refreshing and drinkable Belgian style beers. Characterized with a high attenuation, this dry yeast reveals fruity aromas with a spicy character, particularly notes of cloves. Sprinkle the yeast in minimum 10 times its weight of sterile water or wort at 25 to 29°C (77°F to 84°F) Leave to rest 15 to 30 minutes. Gently stir for 30 minutes, and pitch the resultant cream into the fermentation vessel. Alternatively, pitch the yeast directly in the fermentation vessel providing the temperature of the wort is above 20°C (68°F). Progressively sprinkle the dry yeast into the wort ensuring the yeast covers all the surface of wort available in order to avoid clumps. Leave for 30 minutes,
then mix the wort using aeration or by wort addition.",Belgian,
BE-256,SafAle BE-256,Ale,Fermentis,59,68,82,82,High,11,"Formerly called Safbrew Abbaye Dry Brewing Yeast . Active dry yeast recommended to brew a diversity of beers amongst which abbey style beers known for their high alcohol content. It ferments very fast and reveals subtle and well-balanced aromas. To maintain the aromatic profile at the end of the fermentation, we do recommend to crop this yeast as soon as possible after fermentation.","High alcohol Belgians, Trappist Ales",
Belle Saison,Belle Saison,Ale,Danstar,59,95,85,100,Low,14,"Danstar's Belle Saison is a Belgian saison-style ale yeast, a breakthrough in the world of traditional dried yeasts. Get all the great esters and phenols that are so desirable in an authentic Belgian-style saison, with the convenience of dried yeast! Danstar's technical analysis indicates that it does not experience the sluggishness common with Dupont-style strains.
Full attenuation is possible within 72 hours, at pitching rate of 1 g/L (2 packs for 5 gallons), wort density of 12 Plato (1.048). Fermentation temperature should be kept above 63F - it is unknown at this time what the upper limit for this yeast strain is, but free-rising from pitch temperature is encouraged. The manufacturer recommends rehydrating this yeast - instructions are on the back of the package.",Belgian saison style beers,
Blanche,Blanche,Ale,Brewferm,64,75,,,Low,,"For 20L of wort.  Rehydrate in 100ml of 30C water, wait 10 min, stir gently and add to wort.","Very suitable for witbier, wheat beers, etc",
BRY-97,BRY-97 American West Coast,Ale,Danstar,68,75,77,84,Low,9,"The aroma is slightly estery, almost neutral and does not display maloudours when properly handled. May slightly reduce hop bitterness levels due to flocculation.","Cream Ale, American Wheat, Scotch Ale, American Pale Ale, American Amber, American Brown, American IPA, American Stout, Russian Imperial Stout, Imperial IPA, Roggen/Rye, Old Ale and American Barleywine.",Maybe Chico or rumors of Pacman
CBC-1,Cask And Bottle Conditioned Beer Yeast,Ale,Danstar,59,77,72,72,Medium-HIgh,14,CBC-1 has been especially selected for it's refermentation properties and is recommended for Cask and Bottle Conditioning.,"California Common, Barleywine, American Light Lager, Porter Irish Red Ale,German Pilsner, American Pale Ale",
Coopers,Coopers Pure Brewing Yeast,Ale,Coopers,68,75,72,77,High,10,"Coopers Homebrew yeast is a robust strain of Saccharomyces cerevisiae which gives a rapid, clean fermentation with a relatively high rate of production of carbon dioxide. It is a pure strain that has been propagated under strictly defined conditions of nutrient and oxygen supply, temperature and pH control. The dried yeast is kept under cool storage, and packaged under dry sanitary conditions. Pitching/Fermentation : Great everyday ale yeast. Produces mild fruitiness, but little phenolics. Fast attenuating yeast producing a balanced flavor profile of fermentation products. This yeast has strong flocculation characteristics, particularly at low temperatures (below 5’C). Attenuation: 72-77%. Under normal fermentation conditions its use will result in a clean, rounded flavor profile comparable to commercially produced beers.",Ales,WLP009
ECY07,Scottish Heavy,Ale,East Coast Yeast,60,68,77,80,,,"Leaves a fruity profile with woody, oak esters reminiscent of malt whiskey. Well suited for 90/shilling or heavier ales including old ales and barleywines due to level of attenuation (77-80%) - recommend a dextrinous wort. Suggested fermentation temp: 60-68°F.  Brewery source: Brewtech CL-200",Scottish,
ECY08,Saison Brasserie Blend,Ale,East Coast Yeast,75,85,80,80,,,"A combination of several Saison yeasts for both fruity and spicy characteristics accompanied by dryness. Apparent Attenuation: up to 80%. Suggested fermentation temp: 75-85° F.  Brewery source: Brewtech CL-380, plus others",Saison,
ECY09,Belgian Abbaye,Ale,East Coast Yeast,66,72,74,76,,,"This yeast produces classic Belgian ales – robust, estery with large notes of clove and fruit. Rated highly in sensory tests described in Brew Like A Monk for complexity and low production of higher alcohols.Brewery source: CL-300",,
ECY10,Old Newark Ale,Ale,East Coast Yeast,60,68,68,72,High,,"Sourced from a now defunct east coast brewery, this pure strain was identified as their “ale pitching yeast”. Good for all styles of American and English ales. Top fermenting, high flocculation with a solid sedimentation. Suggested fermentation temp: 60-68°F. Apparent Attenuation: 68-72% Resurrected from a freezed-dried deposit library, this pure strain of S. cerevisae is NOT the rumored Chico strain.  Rumored to be Ballantine.",,
ECY11,Belgian White,Ale,East Coast Yeast,68,74,,,,,Belgian white: isolated from the Hainaut region in Belgium this pure yeast will produce flavors reminiscent of witbiers.,Witbier,
ECY12,Old Newark Beer,Ale,East Coast Yeast,58,68,70,75,,,"Sourced from the same defunct east coast brewery as ECY10, this pure strain was used as their “beer pitching yeast”. The strain has been identified as S. cerevisae, hence it is not a true lager strain, but should ferment at lager temperatures. Could this be the parent strain of Chico? Rumored to be the Ballentine Beer (Lager, as opposed to Ballentine Ale) strain. Brewery source: Ballentine? ",,
ECY13,Trappist Ale,Ale,East Coast Yeast,66,72,74,76,,,"Traditional Trappist yeast with a complex, dry, fruity malt profile. Rated highly in sensory tests described in Brew Like A Monk for complexity and low production of higher alcohols. Apparent Attenuation: 74-76%. Suggested fermentation temp: 66-72° F. Brewery Source: Brewteck CL-320",Belgian,Brewtek CL-320
ECY14,Saison Single-Strain ,Ale,East Coast Yeast,75,85,76,78,,,"This pure strain leaves a smooth, full character with mild esters reminiscent of apple pie spice.",,
ECY17,Burton Union,Ale,East Coast Yeast,64,69,73,75,,,"Produces a bold, citrusy character which accentuates mineral and hop flavors. Well-suited for classic British pale ales and ESB.","British Pale, ESB",
ECY18,British Mild,Ale,East Coast Yeast,60,68,66,70,,,"This yeast has a complex, woody ester profile and is typically under-attenuating (does not ferment maltotriose) leaving a malt profile with a slight sweetness that is perfect for milds, bitters, or “session ales”",Mild,
ECY25,Adelaide Ale,Ale,East Coast Yeast,66,76,74,76,,,"Produces a malty, bready character with a pleasant honey-like finish. This yeast is very forgiving in warmer fermentations for those who cannot ferment in controlled conditions.  British style ales and Sparkling ales work with this yeast.  http://www.beerhunter.com/documents/19133-000025.html",,
ECY26,Dublin Ale,Ale,East Coast Yeast,60,68,76,78,Medium,10,,"Dry Irish Stout, American Stout, Porter, Brown Ales",
ECY29,Northeast Ale,Ale,East Coast Yeast,,,,,,,"Very fruity from an amazing DIPA in the NE.  (facebook comments:) Q: Would that Amazing DIPA be best drank from a can?  A: It might be, but I like in a glass just the same!",,
F-2,SafAle or SafBrew F-2,Ale,Fermentis,59,77,,,,15,Bottling/Kegging Yeast  - Sticks well at the bottom of the bottles/casks and forms a nice haze when it is resuspended,,
G01,G01 Stefon,Ale,Imperial Yeast,63,73,73,77,Low,,"Slightly underpitching will help increase the banana character.This is the traditional German strain used to produce world class weizen beers where big banana aroma is required. Balanced with mild clove, depending on your wort profile, this strain will produce amazing beers. Stefon will create a slightly higher level of acidity to give your beer a very crisp finish.",Weizen Beers,
G02,G02 Kaiser,Ale,Imperial Yeast,56,65,73,77,Low,,"A traditional alt strain, Kaiser is ready to produce an array of German style beers. It will keep the beer clean and allow the delicate malt flavors and aromas to shine through. Characteristics of this strain make it a good choice for traditional Berliner weisse fermentations. Kaiser is a low flocking strain, so expect long clarification times, but very low diacetyl levels. A traditional alt strain, Kaiser is ready to produce an array of German style beers. It will keep the beer clean and allow the delicate malt flavors and aromas to shine through. Characteristics of this strain make it a good choice for traditional Berliner weisse fermentations. Kaiser is a low flocking strain, so expect long clarification times, but very low diacetyl levels.",Berliner Weisse,
G03,G03 Dieter,Ale,Imperial Yeast,60,69,73,77,Medium,,"Dieter is a clean, crisp, traditional German Kölsch strain. A very low ester profile makes this strain perfect for Kölsch, Alt and other light colored delicate beers. Dieter has better flocculation characteristics than most Kölsch strains which allows brewers to produce clean, bright beers in a shorter amount of time.",Kolsch,
GY001,NorCal Ale #1,Ale,GigaYeast,64,77,85,100,Medium,11,"Clean Fermenting, versatile strain from one of the most famous California Pale Ales.  Neutral flavor profile creates a crisp beer and allows hops to shine.  Strong attenuator and good flocculation perfectly suited for a large variety of styles.  Good choice for high gravity beers","Barley Wine, Pale Ale, Bitter, Scotch Ale, IPA, Stout",
GY003,Achouffe Belgian Ale,Ale,GigaYeast,68,77,57,84,Medium-Low,8.4,"Abbey style yeast from the Belgian Ardennes.   Produces aromatic, spicy clove-like notes and less fruity aromas than GY014.  Moderately flocculant yeast that creates a slightly clearer beer than most Belgians.","Belgian Ale, Belgian Strong, Biere De Garde, Dubbel, Tripel",
GY007,Belgian Mix,Ale,GigaYeast,66,77,67,81,Low,9.2,"A blend of Trappist Ale Yeast combine to create robust attenuation and a complex flavor profile.  Spicy and fruity, this blend is slightly more flocculent than many Belgians.  Good choice for High Gravity beers.","Belgian Ale, Belgian Strong, Biere De Garde, Dubbel, Tripel, Saison",
GY011,British Ale #1,Ale,GigaYeast,64,77,85,100,High,9.4,"Versatile house strain from a traditional UK Brewery. Strong attenuation, low esters and excellent flocculation for clear beer.","British Ales, Barley Wine, Bitter, IPA, Pale/Amber Ale, Scotch Ale, Stout",
GY015,Trappist Tripel,Ale,GigaYeast,66,74,70,75,Low,9.8,"Trappist Ale yeast from the mother of all Tripels.  A balance of fruit and spice with a  good malty finish provides a perfect complement for Belgian Ales, Dubbels and Tripels.   Perfect for malt forward Belgians.  Less esters and phenolics than GY003 and GY014.","Belgian Ale, Belgian Strong, Biere De Garde, Dubbel, Tripel, Saison",
GY015,Scourmont Abbey Ale,Ale,GigaYeast,64,80,79,81,Low,11.3,"Classic Belgian yeast from one of the best known Trappist breweries.  A fragrant yeast that produces delicious fruity aroma.  Good choice for high gravity beers.  Generally, the warmer this yeast is fermented the higher the level of fruit aromas produced.     ","Belgian Ale, Belgian Strong, Biere De Garde, Dubbel, Tripel, Saison",
GY016,Altstadt Ale,Ale,GigaYeast,55,68,51,81,Low,7.3,An ale yeast that ferments at cold temperatures and produces a lager like ale style with a hint of fruity esters.  Leaves a slight residual maltiness perfect for traditional Kölsch and Alt styles.,"Kolsch, Altbier, Cream Ale, California Common, Biere De Garde",
GY017,Bavarian Hefe,Ale,GigaYeast,64,80,66,81,Very Low,9.6,A traditional hefe yeast from one of Bavaria’s oldest breweries.  Robust attenuator that works over a broad range of temperatures and produces the classic banana and clove notes of the German wheat beer style.  Moderate sulfide producer (will dissipate with conditioning),"Dunkelweizen, Hefeweizen, Gose, Weizenbock",
GY018,Saison #1,Ale,GigaYeast,64,80,49,83,Low,6.8,Traditional Saison yeast from a French craft brewery.  Produces fragrant beer with pepper and fruit notes.  Warmer fermentations create more intense flavors.   Perfect for accentuating citrus and fruit flavors.  High attenuation rates make a dryer beer than Saison #2.,"Saison, Belgian Ale, Farmhouse Ale, Biere De Garde",
GY020,Portland Hefe,Ale,GigaYeast,64,74,44,80,Very Low,6,Used to make a famous American Wheat Beer.  Creates a clean tasting crisp brew with just a hint of banana and spice.  Very low flocculation means a hazy beer true to the hefe style.,"American Wheat Beer, Dunkelweizen, Hefeweizen, Weizenbock",
GY021,Kolsch Bier,Ale,GigaYeast,60,72,76,83,Medium-High,10.1,"From one of the oldest Kölsch breweries in Köln.  Fermenting under 65˚F produces a very clean, crisp beer with a touch of ester.  Perfect for Kölsch or any style where a dry, clean profile is desired.  GY021 produces a moderate amount of sulfide that will dissipate completely.","Kolsch, Alt, Cream Ale, Pale Ale, IPA, Amber",
GY027,Saison #2,Ale,GigaYeast,64,80,44,83,Low,6,From a traditional farmhouse Saison.  Creates the fruity/spicy aroma traditional to the style.  Warmer fermentation temps result in more intense flavor.  Produces a tartness not found in most of our yeast and a slightly sweeter beer than GY018 (Saison #1),"Saison, Belgian Ale, Farmhouse Ale, Biere De Garde",
GY028,Belgian Wit,Ale,GigaYeast,64,80,74,79,Very Low,10,Traditional Belgian Wit yeast from one of the classic producers of the style.  Creates a delicious spicy nose and a somewhat tart beer.  Attenuates dry and leaves a slightly cloudy beer— very low flocculation,"Belgian Witbier, Belgian Ales, Saison",
GY029,NorCal Ale #5,Ale,GigaYeast,67,75,69,73,Medium-High,9.2,"More flocculent and less attenuative than GY001.  Ferments more slowly and leaves a clear beer with residual sweetness and a slight fruity nose.  Excellent for full bodied, malt forward beers.","Brown, Amber, Stout, Porter, Pale",
GY031,British Ale Yeast #2,Ale,GigaYeast,64,75,72,84,High,10,"From a traditional British brewery.  Very flocculent— produces clear beer.   GY031 leaves a slightly sweet malty flavor.   Flavor profile is nearly neutral at lower fermentation temps.  Slight banana/fruit notes appear at higher temps.  Perfect for English style pale ales, stouts, porters, bitters browns etc.","British Ales, Barley Wine, Bitter, IPA, Pale/Amber Ale, Scotch Ale, Stout",
GY041,British Ale Yeast #3,Ale,GigaYeast,64,77,74,83,Medium,9.8,"From a British craft brewery known for its award winning hoppy English ales. Good flocculation, slight esters, excellent for accentuating hop flavor and aroma. This British ale yeast is less flocculent than GY011 and GY031– but still creates a clear beer. Finished beer is dry and crisp with just a hint of esters","ESB, Bitter, IPA, Pale/Amber Ale, Stout, Brown Ale",
GY044,Scotch Ale #1,Ale,GigaYeast,64,75,70,82,Medium-Low,9.3,"This is one sweet yeast.  Neutral flavors emphasize the malt.  Leaves a slight residual sweetness and body in high gravity beers perfect for malt forward styles like scotch ales, wee heavy, stouts and porters.","Scotch Ale, Wee Heavy, Porter, Pale, Brown, Stout",
GY047,Saison Blend,Ale,GigaYeast,64,80,49,83,Low,6.8,A blend of Saison yeast. This Blend is a super robust attenuator that produces a complex flavor profile of fruit and spice.,"Saison, Belgian Ale, Farmhouse Ale, Biere De Garde",
GY048,Golden Pear Belgian,Ale,GigaYeast,65,80,78,85,Low,10.2,"Traditional yeast from the originator of the Belgian Golden Strong Ale style.   Robust attenuation makes this yeast an excellent choice for low or high gravity belgian and farmhouse style ales.  Leaves a dry, slightly tart finish with an estery profile reminiscent of apple and pear with a subdued level of spicy phenolics.  This yeast produces a moderate amount of sulfide  that will dissipate quickly with conditioning.","Belgian Golden Strong Ale, Tripel, Dubbel, Farmhouse Ale, Saison, Biere De Garde",
GY054,Vermont IPA Yeast,Ale,GigaYeast,62,75,74,82,Medium-Low,10.6,From one of the best examples of an east coast IPA.  This yeast attenuates slightly less than NorCal Ale #1 and leaves a beer with more body and a slight fruity ester that is amazing with aromatic hops.  Good choice for high gravity beers and hoppy styles.  Broad temperature range and moderate flocculation make this yeast a versatile house strain.,"IPA, Pale Ale, West Coast Amber, American Wheat Beer, BItter, ESB",
GY077,Quebec Abbey Ale Yeast,Ale,GigaYeast,68,80,75,83,Medium,10.3,From one of the first breweries in North America to create a successful line of traditional Abbey style ales.  This Belgian ale yeast creates a malt forward beer with subtle fruity esters and a very small amount of clove notes.   Robust attenuation makes this yeast an excellent choice for low or high gravity beers where a slightly sweet malty finish is desired.  Perfect for the Belgian Dubbel and Tripel styles,"Belgian Ale, Belgian Strong, Beire De Garde, Dubbel, Tripel",
GY080,Irish Stout,Ale,GigaYeast,64,72,77,86,Medium,10.7,"From one of the most famous stouts in the world.  Creates a crisp, dry beer with a subtle fruity profile and a slightly tangy finish.  Makes an amazing stout or porter but is also great for red, amber and even pale ales.  This ale yeast is a robust fermenter perfect for high gravity brews and settles out well enough to create a relatively clear beer.","Stout, Imperial Stout, English Pale Ale, Porter, Amber/Red Ale",
K-97,Safale K-97,Ale,Fermentis,59,75,81,81,High,,"A German ale strain selected for its ability to form a large, firm head when fermenting. This top-cropping ale yeast is suitable for top fermented beers with low ester levels.",Belgian style wheat beers,
London,London,Ale,Danstar,65,72,70,75,Low,9,"Pitching/Fermentation : London ESB yeast is best used at a fermentation temperature range of 18-22 deg C (65-72 deg F). Fermentation is generally completed in 3-5 days dependent on recipe and process conditions.  Attenuation range 65-75%  Fermentation rate, fermentation time and degree of attenuation are dependent upon inoculation density, yeast handling, fermentation temperature and nutritional quality of the wort.  Produces a clean, well balanced ale. Medium attenuation preserves some beer complexity. Best for well-balanced British style ales.","Extra Special Bitter but for other authentic heritage UK styles like Pale Ale, Bitter and Mild. London ESB may also be used in the production of Ciders.American Pale Ale, Baltic Porter, Brown Porter, Cream Ale, English Brown, English IPA, Irish Red Ale, Mild, Oatmeal Stout, Old Ale, Ordinary Bitter, Robust Porter, Scottish Ale, Special Bitter, Sweet Stout
",
M03,Newcastle Dark Ale,Ale,Mangrove Jack,64,72,70,75,Medium,,"A top fermenting ale yeast suitable for a variety of hearty British ales, promoting exceptional body and flavour. Ferments with full, rich dark fruit flavours.","Dark Mild Ale, English Brown Ale, Scottish Heavy Ale, and more",
M07,British Ale,Ale,Mangrove Jack,57,72,85,100,Very High,,A top-fermenting ale strain suitable or many types of ales of all strengths. Ferments with a neutral yeast aroma to ensure the full character of the malts and hops are prominent in each beer.,"India Pale Ale, Porter, Stouts, Barleywine, and more",
M10,Workhorse,Ale,Mangrove Jack,59,90,85,100,Medium,,"A top fermenting yeast which produces a clean, crisp flavour suitable for a wide variety of styles with different fermenting temperatures. This versatile yeast is well suited to making cask or bottle conditioned beer.  Suitable to ferment lager styles at 15-20 degrees C (59-68 degrees F) and all other beer styles at 20-32 degrees C (68-90 degrees F).",Light Lager to Baltic Porter,
M20,Bavarian Wheat,Ale,Mangrove Jack,59,86,70,75,Low,,"Deliciously smooth, light golden in colour, full bodied aromas of vanilla and banana and a lingering aftertaste. This yeast produces a silky mouth feel and rich body.","Hefeweizen, Kristal Weizen, Dunkel Weizen and more",
M27,Belgian Ale,Ale,Mangrove Jack,79,90,85,100,Medium,14,"Belgian Ale Yeast is an exceptional top-fermenting yeast creating highly characterful beers with spicy, fruity and peppery notes ideal for Belgian Saison or farmhouse style beer.",Belgian Ales,
M44,US West Coast,Ale,Mangrove Jack,59,74,85,100,High,,"A top fermenting ale strain suitable for American style ales. This yeast produces an exceptionally clean flavour, ideal for when you want the hop character to really punch through.","Americal Pale Ale, American double IPA, American Imperial Stout, and more",
M79,Burton Union,Ale,Mangrove Jack,64,74,85,100,High,,A top-fermenting ale yeast suitable for a wide variety of hoppy and distinctive English style beers. This strain products light and delicate fruity esters and does not strip away malt character or body.,"Ordinary Bitter, Extra Special Bitter, Golden Ale, and more",
Munich,Munich,Ale,Danstar,55,65,77,84,Low,,"Strain used by a number of commercial breweries to produce Bavarian-style wheat beers. The propagation and drying processes have been specifically designed to deliver high quality beer yeast that can be used simply and reliably to help produce wheat beers of the finest quality. Quick start and vigorous fermentation, which can be completed in as little as 4 days above 17° C. Medium to high attenuation Non-flocculent strain; some settling can be promoted by cooling and use of fining agents and isinglass. Estery to both palate and nose with typical banana notes. Best used at traditional ale temperatures. Optimum temp: 55°-66° F. An innovative new vacuum packaging method allows the brewer to ensure that the package is fully sealed prior to use.",Bavarian style wheat beers,
Nottingham,Nottingham,Ale,Danstar,57,70,85,100,High,,"Danstar's Nottingham yeast is one of our most popular dry yeast strains, and for good reason! It is known to be a quick fermenter, primary fermentation usually being complete in a matter of a few days. All of the characteristics of a good ale yeast are found in Nottingham: a clean flavor profile that allows a great balance between malt and hop character, high, fast flocculation, relatively high attenuation, and low production of fruity esters. This strain can be used to create almost any beer style, and often is used as a house strain by brewers in the know. Because it has a wide temperature range that dips down into the 50s, it has been used to produce very lager-like beers as well.","American and English pale ales, IPAs, Imperial IPAs, Barleywines, Bitters, Milds, Stouts, Porters, Fruit Beers, Irish Red Ale, Cream Ale, Other Smoked Beer, Russian Imperial Stout, Spice, Herb, or Vegetable Beer, Strong Scotch Ale, Wood-Aged Beer.",
OLY-004,West Coast Ale,Ale,Omega,60,73,73,80,Medium-Low,11,"Popularly the “Chico,” this neutral, highly attenuating, moderately flocculating chart topper is a great house for its reliability, versatility — and lauded place in American craft beer history. It ferments cool, crisp and clean at the low range, with light citrus under 66° F. Great for displays of malts and hops. Also try DIPA Ale (OYL-052) and British Ale I (OYL-006) for hops, or West Coast Ale II (OYL-009) and Scottish Ale (OYL-015) for malts.",,
OLY-005,Irish Ale,Ale,Omega,62,72,69,75,Medium,12,"Ireland’s storied stout is thought to be balanced by this dry, crisp, lightly fruity, versatile and powerful strain. A good fermenter with reliable, average flocculation (some diacetyl possible). Hint of fruit at the lowest recommended temperatures increases in complexity at higher temps (64° F+/18° C+). Successful in dark and high gravity beers.",,
OLY-006,British Ale,Ale,Omega,64,72,70,80,Medium-High,10,"A productive, brewery-friendly top cropper attributed to an historic London brewery whose lab once hosted Louis Pasteur. It drops fast and clear, and it is clean and crisp at low temperatures, with heightened esters and a lightly tart and dry finish at the upper range.  Try also British Ale II (OYL-007) for slightly less attenuation and enhanced malts, or British Ale VIII (OYL-016).",,
OLY-016,British Ale VIII,Ale,Omega,64,72,67,71,Very High,9,"A ridiculously thorough flocculator thought to be from a highly regarded English ESB. This strain has unique fruitiness and noticeable finishing sweetness. It drops out quickly and completely. Easy to crop, but needs a diacetyl rest. To enhance the fruit, ferment up at the recommended temperature ceiling.",,
OLY-021,Hefeweizen Ale,Ale,Omega,64,75,73,77,Low,10,"A cloudy, big top-cropping standard in classic German wheat beer. Graceful banana and clove turn up with increased temperatures, wort density and decreased pitch rate, or stay muted at lower temperatures to show clove. Over pitching can dial down banana. Sulfur conditions out. See also Bavarian Wheat (OYL-025) for an alternate complexity.",,
