Name,Description
Blackberries (fresh),Related to raspberries. Blackberries has a firm shiney black purple color. Very sweet.
Blackberries (frozen),Related to raspberries. Blackberries has a firm shiney black purple color. Very sweet.
Blackberries (pureed),Blackberries have a firm shiney black purple color.
Blackberry Extract,Flavor extract. Blackberries have a firm shiney black purple color.
Blackberry Syrup,Very sweet extract sugar syrup from Blackberries.
Blueberries (fresh),Bright blue berries with soft mildly sweet interior.
Blueberries (frozen),Bright blue berries with soft mildly sweet interior.
Blueberries (pureed),Blueberries are bright blue berries with soft mildly sweet interior.
Blueberry Extract,Flavor extract. Blueberries are bright blue berries with soft mildly sweet interior.
Blueberry Syrup,Sweet sugar syrup made from the bright blue berries.
Boysenberries (fresh),Related to raspberries and blackberries. It has a firm shiney reddish purple color. Very sweet.
Boysenberries (frozen),Related to raspberries and blackberries. It has a firm shiney reddish purple color. Very sweet.
Boysenberries (pureed),Boysenberries are related to raspberries and blackberries. They have a firm shiney reddish purple color.
Boysenberry Extract,Flavor extract. Boysenberries are related to raspberries and blackberries. They have a firm shiney reddish purple color.
Boysenberry Syrup,Very sweet extract sugar syrup from boysenberries.
Caraway,"The fruits (erroneously called seeds) have a pungent, anise-like flavor and aroma. They are often used as a spice in rye bread, as well as some deserts, liquors and other foods."
Cardamom (ground),"Cardamom has an intense, pungent, sweet flavor."
Cardamom (Whole),"Cardamom pods have an intense, pungent, sweet flavor."
Cayenne Pepper,Cayenne Pepper is made from the dried pods of pungent chili peppers.
Chamomile (dried),"Chamomile, a member of the daisy family, is native to Europe and western Asia. German chamomile is the most commonly used. The herb has a very mild soothing flavor."
Cherries (fresh),Shiney red to purple plumb shaped fruit. A distant relative of the plumb. Strong distinctly sweet flavor.
Cherries (frozen),Shiney red to purple plumb shaped fruit. A distant relative of the plumb. Strong distinctly sweet flavor.
Cherries (pureed),"Cherries are shiney red to purple, plumb shaped fruits. A distant relative of the plumb."
Cherry Extract,"Flavor extract. Cherries are shiney red to purple, plumb shaped fruits. A distant relative of the plumb."
Cherry Peppers,"So named because of their resemblance to cherries, red cherry chile peppers are deep orange to bright red at maturity. They are nearly spherical. Ranging from mild to fairly hot, some are quite sweet. Varying in size, they may be small or large."
Cherry Syrup,Strong distinctly sweet flavored sugar syrup. Made from extract of cherry.
Chili Peppers,"Small, tapered chilies about 1 to 2 inches long are sold dried, but there is no one varietal name that applies to all of them."
Chocolate (bittersweet bakers),"Chocolate liquor to which sweeteners and cocoa butter have been added. Also known as dark chocolate. According to government standards, it must contain at least 35 percent chocolate liquor. Its fat content averages 27 percent. Tastes rich and smooth. Strongest chocolate flavor with minimal dairy or milk flavor. Flavor depends on cocoa bean blend rather than dairy ingredients."
Chocolate (dark),"A general term for chocolates containing 15% to 35% chocolate liquor and less than 12% milk solids. Straight from the grinding mill with ingredients like cocoa butter, sugar and vanilla added to make it palatable. It has a deep to moderate chocolate flavor, ranging from fruity to earthy, with minimal dairy or milk flavor. Bean blend determines flavor more than milk ingredients."
Chocolate (semisweet baking),"Chocolate liquor to which sweeteners and cocoa butter have been added. Also known as dark chocolate. According to government standards, it must contain at least 35 percent chocolate liquor. Its fat content averages 27 percent. Tastes rich and smooth. Strongest chocolate flavor with minimal dairy or milk flavor. Flavor depends on cocoa bean blend rather than dairy ingredients."
Chocolate (unsweetened),"Unsweetened Chocolate is pure chocolate liquor, also known as bitter or baking chocolate. It's unadulterated chocolate: ground roasted chocolate beans with no other added ingredients imparts a strong, deep chocolate flavor in all the sweets you add it to."
Cinnamon (ground),"Cinnamon is the dried bark of various laurel trees in the cinnamomun family. One of the more common trees from which Cinnamon is derived is the cassia. Ground cinnamon is perhaps the most common baking spice. Ground cinnamon is ground from long pieces of bark that are rolled, pressed, and dried."
Cinnamon (stick),"Cinnamon is the dried bark of various laurel trees in the cinnamomun family. One of the more common trees from which Cinnamon is derived is the cassia. Ground cinnamon is perhaps the most common baking spice. Cinnamon sticks are made from long pieces of bark that are rolled, pressed, and dried."
Clearfine,"Clarifier. A unique blend of animal collagen and polysaccharides which, when added to beer during cold storage, results in rapid precipitation and compaction fo yeast and insoluble materials. Usage approx. .8-2.4 oz. per 1- bbl. Benefits are simpler, quicker preparation that isinglass, improved yeast separation, reduced beer loss and improved filter performance. Separated material forms a dense, compact layer."
Clementine juice,"The Clementine is a hybrid of tangerine and the Seville or bitter orange developed in 1902 near Oran, Algeria by Father Clement Rodier, a French missionary. They are easy to peel, have only occasional seeds, and have a very pleasant tangy, sweet flavor."
Clementine peel,"The Clementine is a hybrid of tangerine and the Seville or bitter orange developed in 1902 near Oran, Algeria by Father Clement Rodier, a French missionary. They are easy to peel, have only occasional seeds, and have a very pleasant tangy, sweet flavor."
Clementine peel (dried),"The Clementine is a hybrid of tangerine and the Seville or bitter orange developed in 1902 near Oran, Algeria by Father Clement Rodier, a French missionary. They are easy to peel, have only occasional seeds, and have a very pleasant tangy, sweet flavor."
Clementine zest,"The Clementine is a hybrid of tangerine and the Seville or bitter orange developed in 1902 near Oran, Algeria by Father Clement Rodier, a French missionary. They are easy to peel, have only occasional seeds, and have a very pleasant tangy, sweet flavor."
Cloves (ground),"Cloves are the rich, brown, dried, unopened flower buds of Syzygium aromaticum, an evergreen tree in the myrtle family. The name comes from the French clou meaning nail. Cloves are strong, pungent, and sweet."
Cloves (whole),"Cloves are the rich, brown, dried, unopened flower buds of Syzygium aromaticum, an evergreen tree in the myrtle family. The name comes from the French clou meaning nail. Cloves are strong, pungent, and sweet."
Cocoa Powder,Cocoa powder is made when chocolate liquor is pressed to remove three quarters of its cocoa butter. The remaining cocoa solids are processed to make fine unsweetened cocoa powder.Tastes very bitter and gives a deep chocolate flavor.
Coconut (chunks),"Coconut (Cocos nucifera) belongs to the Palm family Arecaceae and is found growing around the world in lowland, tropical and subtropical habitats. Classed as a fruit, it is actually a one-seeded drupe. What we buy in shops is the stone of this drupe, consisting of a hard shell (the endocarp) which encloses the seed. The meat has a mild nutty sweet flavor."
Coconut (flaked),"Coconut (Cocos nucifera) belongs to the Palm family Arecaceae and is found growing around the world in lowland, tropical and subtropical habitats. Classed as a fruit, it is actually a one-seeded drupe. What we buy in shops is the stone of this drupe, consisting of a hard shell (the endocarp) which encloses the seed. It has a mild nutty sweet flavor."
Coffee (beans),From the arabica plant. Beans are usually roasted and have a strong distinct bitter flavor.
Coffee (grounds),From the arabica plant. Beans are usually roasted and have a strong distinct bitter flavor. They are then ground and hot water is used to steep the unigue oils out of the grounds.
Coffee Beans (Espresso),Roasting achieves a very dark chicory richness.
Convertase AG-300,"a liquid fungal glucoamylase for the creation of light beers, Convertase AG-300 is used to rapidly break down the 1-4 glucosodic bonds, and, at a slower rate, the 1-6 bonds in liquefied starch. Recommended usage is in the fermenting vessel. Optimum temp. is 60deg C, range 10 to 70 deg. C. Note that glucoamylase will convert all starches to glucose. Care must be taken to isolate this enzyme in the brewery. Contamination of other beers can cause sweetening of product during storage, and even after bottling."
Convertase MG-30/Bio Cellulase,"a liquid fungal glucoamylase for the creation of light beers, Convertase AG-300 is used to rapidly break down the 1-4 glucosodic bonds, and, at a slower rate, the 1-6 bonds in liquefied starch. Recommended usage is in the fermenting vessel. Optimum temp. is 60deg C, range 10 to 70 deg. C. Note that glucoamylase will convert all starches to glucose. Care must be taken to isolate this enzyme in the brewery. Contamination of other beers can cause sweetening of product during storage, and even after bottling."
Corriander crushed,"Coriander is the seed of Coriandrum sativum, a plant in the parsley family. The seed is ground or crushed. Coriander has a mild, distinctive taste similar to a blend of lemon and sage."
Corriander seeds,"Coriander is the seed of Coriandrum sativum, a plant in the parsley family. The seed is globular and almost round, brown to yellow red, and 1/5 inch in diameter with alternating straight and wavy ridges. Coriander has a mild, distinctive taste similar to a blend of lemon and sage."
Cranberries (fresh),Powerfully sour berry. Cranberries grow on vines in boggy areas. Cranberries were first cultivated in Massachusetts around 1815 and are only one of three major native North American fruits. Some cranberry beds have been around for over 100 years.
Cranberries (frozen),Powerfully sour berry. Cranberries grow on vines in boggy areas. Cranberries were first cultivated in Massachusetts around 1815 and are only one of three major native North American fruits. Some cranberry beds have been around for over 100 years.
Cranberry Extract,Flavor extract. Powerfully sour berry.
Cranberry Juice (sweetened),Powerfully sour berry.
Cranberry Juice (unsweetened),Powerfully sour berry.
Cranberry Syrup,"Strong Cranberry flavor usually contain fructose sugar, pectin, lemon juice."
Cumin Seed,"Cumin has an earthy, pungent, aromatic flavour which is slightly bitter but not hot."
Curacao,"A liqueur, or cordial, flavored with orange peel, cinnamon, and mace"
Divergan 'F' (formerly Polyclar),"An insoluble plastic polymer used as a processing aid to prevent chill haze in beer and oxidation browning and pinking in wine. Add a couple teaspoons after the dead yeast has settled and it will attract and settle tannins to the bottom with the dead yeast. Completely inert , cheap, and effective"
Elderberries (Dried),Flavor has been described as a “spicy cola”. Often used in port style wines.
Ferm-Cap S,A silica-based emulsion with the ability to increase fermentation capacity and improve hop utilization with no negative effect on final beer head stability. Can reduce required fermenter head space from 20% to about 5%. Product is removed from the beer on yeast cells and tank walls.
Finings Gelatin,Clears beer by causing particles to coagulate and settle
Fungal Alpha Amylase,"Used in fermentation or cold storage to hydrolyze 1-4 glucosidic links in malt and adjunct starches. Leaves the 1-6 links, and is therefore self-limiting, converting just some starches and dextrins into maltose. Recommended for light beers, or to prevent starch problems in storage."
Ginger (candied),"Ginger that is treated with sugar. It possesses an intriguing; sweet, spicy and pungent flavour."
Ginger (fresh),"Ginger possesses an intriguing; sweet, spicy and pungent flavour. Ginger is the common name given to the underground stem (rhizome) of the perennial plant Zingiber officinale Roscoe. It is chemically classified as an essential oil with pungent principles, and has been in use as a flavoring agent worldwide for over 20 centuries."
Ginger (pickled),"Pickled ginger has the root sliced paper-thin and pickled in a vinegar solution. This pickle is known in Japan as gari , which often accompanies sushi, and is served to refresh the palate between courses."
Grains of Paradise,Pungent peppery flavor.
Habernero pepper,"To date these are the Hottest chili peppers know to man, HOT - HOT - HOT. Use extreme caution when using. Marble-shaped chili peppers, ranges in color from unripe green to full ripe red."
Hazelnut (extract),Flavor extracted from freshly roasted hazelnuts. Has a rich mildly nutty sweet flavor.
Heading Liquid,Helps improve head retention in low malt beers
Heather Blossoms (dried),Adds a unique floral gingery flavor.
Heather Blossoms (fresh),Adds a unique floral gingery flavor.
Heather Tips (dried),Adds a unique floral gingery flavor.
Irish Moss,A dried red-brown marine algae. Fining agent to remove large proteins. Negatively charged polymer attracts positively charged protein-tannin complexes (extracted from grain husks and hops) during the boil. This action is aided by the clumping of proteins in the boiling process. Irish moss settles to the bottom of the brew kettle with spent hops and hot break material at the end of the boil.
Isinglass finings,"Isinglass finings are used extensively as a processing aid in the British brewing industry to accelerate the fining, or clarification, of beer. They are used particularly in the production of cask-conditioned beers, known as real ale, although there are a few cask ales available which are not fined using isinglass. The finings, a pure form of gelatin, flocculate the live yeast in the beer into a spongy mass, which settles to the bottom of the cask. Left to itself, beer will clear naturally; however, the use of isinglass finings accelerates the process. Isinglass is sometimes used with an auxiliary fining, which further accelerates the process of sedimentation."
Jalepeno Peppers,"These peppers have thicker flesh, darker green color, and more cylindrical shape than Fresno chilies; however, the heat level of the two varieties is about the same - HOT! Canned and bottled peppers are sometimes labeled hot peppers with jalapeno as a subtitle. They are always available in sauce form as salsa jalapena, and pickled."
Juniper Berries (dried),"Juniper berries are the fruits of an evergreen bush found in northern Europe and America. Juniper berries are used in wines, beer, brandies, and is the key flavor ingredient in gin. They are also used in marinades and sauces, especially for pork and game dishes. Usually used dried, they should be crushed before use to release their essential oils."
Juniper Berries (fresh),"Juniper berries are the fruits of an evergreen bush found in northern Europe and America. Juniper berries are used in wines, beer, brandies, and is the key flavor ingredient in gin. They are also used in marinades and sauces, especially for pork and game dishes. Usually used dried, they should be crushed before use to release their essential oils."
Kiwi (fresh),"Common name for a southeast-Asian vine, also called Chinese gooseberry and yangtao, and for its edible fruit. The small, oval fruit has a thin brownish-green skin with a fuzzy surface. The flesh, which is a distinctive green, with tiny purplish seeds surrounding a white core, may be eaten raw or cooked."
Lavender (fresh),Adds a unique mild soothing floral soapy flavor.
Lavender flower (dried),Adds a unique mild soothing floral soapy flavor.
Lemon concentrate,Has a distinct sweet odor and a strong soury sweetness. The extracted juice contains between 4.5 and 8.5% organic acids (mostly citric).
Lemon juice,Has a distinct sweet odor and a strong soury sweetness. The extracted juice contains between 4.5 and 8.5% organic acids (mostly citric).
Lemon peel (dried),Has a slight sweet odor and a subtle mild sweetness. One medium lemon has about 3 tablespoons of grated peel.
Lemon peel (fresh),Has a slight sweet odor and a subtle mild sweetness. One medium lemon has about 3 tablespoons of grated peel.
Lemon zest,Has a slight sweet odor and a subtle mild sweetness. One medium lemon has about 3 tablespoons of grated peel.
Lemongrass,"Widely used as an herb in Asian cuisine, lemongrass has a subtle citrus flavor and can be dried and powdered, or used fresh. Can also be steeped to create an herbal tea."
Licorice (root),Adds a flavor similar to anise and fennel. Licorice root contains a substance called glycyrrhizin that is 50 times sweeter than ordinary sugar.
Licorice (stick),Adds a flavor similar to anise and fennel. Licorice root contains a substance called glycyrrhizin that is 50 times sweeter than ordinary sugar.
Licorice Stick (Brewer),"Use sparingly (about 1/2 stick) in porters and stouts. Improves head on beer and adds a unique, interesting flavor. Italian made, and bitter. Not the candy type."
Lime concentrate,Has a mildly sweet odor and a very strong sourness. The extracted juice contains between 4.5 and 8.5% organic acids (mostly citric).
Lime juice,Has a mildly sweet odor and a very strong sourness. The extracted juice contains between 4.5 and 8.5% organic acids (mostly citric).
Lime peel,Has a slight sweet odor and a subtle mild tart sweetness. One medium lime has about 1 tablespoons of grated peel.
Lime peel (dried),Has a slight sweet odor and a subtle mild tart sweetness. One medium lime has about 1 tablespoons of grated peel.
Lime zest,Has a slight sweet odor and a subtle mild tart sweetness. One medium lime has about 1 tablespoons of grated peel.
Liquid Smoke,Liquid Smoke is produced by burning wood chips at very high temperatures and then the smoke is cooled rapidly causing it to condense. It is often mixed with cornsyrup or molasses and vinegar.
Maltodextrine,Adds extra body to homebrew
Mangos (fresh),"The flesh of a mango is peachlike and juicy, with more or less numerous fibers radiating from the husk of the single large kidney-shaped seed. Fibers are more pronounced in fruits grown with hard water and chemical fertilizers. The flavor is pleasant and rich and high in sugars and acid. More fresh mangos are eaten every day than any other fruit in the world. The 'Paisley' design motif is a design from India based on the mango"
Mangos (pureed),"The flesh of a mango is peachlike and juicy, with more or less numerous fibers radiating from the husk of the single large kidney-shaped seed. Fibers are more pronounced in fruits grown with hard water and chemical fertilizers. The flavor is pleasant and rich and high in sugars and acid. More fresh mangos are eaten every day than any other fruit in the world. The 'Paisley' design motif is a design from India based on the mango"
Marsh Rosemary,"A member of the Mint Family. It is a false rosemary, whose branches and leaves are similar to Rosemary. It is used to perfume Russian leather and to season some Nordic beers."
Medjool dates (pureed),"Medjool dates have a wrinkly skin and rich mahogany to amber color. They are one to two and a half inches in length, and three-fourths of an inch in diameter. Medjools are very sweet due to their high sugar content, and have a caramel-like flavor. Their texture is soft but resilient like a raisin."
Mint Leaves (dried),"Mint is strong and sweet with a tangy flavor and a cool after taste. Mint is the dried leaf of a perennial herb. There are two important species, Mentha spicata L. (spearmint) and Mentha piperita L. (peppermint)."
Mint Leaves (fresh),"Mint is strong and sweet with a tangy flavor and a cool after taste. Mint is the dried leaf of a perennial herb. There are two important species, Mentha spicata L. (spearmint) and Mentha piperita L. (peppermint)."
Nutmeg (ground),"Nutmeg is pungent and sweet. Nutmeg is the seed of Myristica fragrans, an evergreen tree native to the Molucca Islands. Interestingly, the tree produces both Nutmeg and mace, and grows up to 60 feet tall. Although the tree takes seven years to bear fruit, it may produce until the 90th year. Both spices come from the trees fruit, which splits into a scarlet outer membrane, mace, and an inner brown seed, Nutmeg."
"Nutmeg (whole, crushed)","Nutmeg is pungent and sweet. Nutmeg is the seed of Myristica fragrans, an evergreen tree native to the Molucca Islands. Interestingly, the tree produces both Nutmeg and mace, and grows up to 60 feet tall. Although the tree takes seven years to bear fruit, it may produce until the 90th year. Both spices come from the trees fruit, which splits into a scarlet outer membrane, mace, and an inner brown seed, Nutmeg."
Oak Wood Chips,"Adds a pungent woody flavor. Adding oak chips (which is done in the fermenter, not the mash tun) can add some interesting flavors to your homebrew as well as acting as a surface area to accelerate aging. To provide aged-in-oak flavor. Used in some IPA to simulate flavors from ocean passage to India."
Orange concentrate,Adds strong sweet tangy citrus flavor.
Orange juice,Adds sweet tangy citrus flavor.
Orange Marmalade,"A preserve containing pieces of fruit rind, especially citrus fruit. The original marmalades were made from quince-the Portuguese word marmelada means quince jam. Now, however, Seville oranges are the most popular fruit for making marmalades."
Orange Peel,Has a fragrantt sweet odor and a subtle mild sweetness. One medium orange has about 3 tablespoons of grated peel.
Orange Peel (dried),Has a fragrantt sweet odor and a subtle mild sweetness. One medium orange has about 3 tablespoons of grated peel.
Orange zest,Has a fragrantt sweet odor and a subtle mild sweetness. One medium orange has about 3 tablespoons of grated peel.
Oregano,"Oregano has a pungent odor and flavor. Mediterranean Oregano is the dried leaf of Origanum vulgare L., a perennial herb in the mint family. Mexican Oregano is the dried leaf of one of several plants of the Lippia genus."
Parsley,"Parsley has a light, fresh scent and flavor. Parsley is the dried leaf of Petroselinum crispum, a biennial in the parsley family."
Peach Extract,Strong floral scented extract. Has a very strong sweet flavor. Often contains alcohol.
Peaches (canned),Pink to orange flesh very sweet and juicy.
Peaches (fresh),Pink to orange flesh surround a large pit. Very sweet and juicy. Cling or clingstone peaches have a pit to which the flesh 'clings'; freestone peaches have a pit from which the flesh is easily pulled away.
Peaches (pureed),Pink to orange flesh surround a large pit. Very sweet and juicy.
Phosphoric Acid 10%,Used to reduce sparge or mash water pH. Our phosphoric acid is diluted (1 oz of 75% phosphoric and 7 oz spring water) for easy measurement. 10% Solution. One 8 oz bottle will acidify many gallons of sparge water.
Pineapple (canned),"Strong cuttingly sweet juicy citrus flavor. There are no known native or wild pineapples known today, They are probably a cultivated species that developed under conditions of artificial selection."
Pineapple (fresh),Strong cuttingly sweet juicy citrus flavor.
Pineapple Juice,Strong cuttingly sweet juicy citrus flavor.
Polyclar,Helps prevent chill haze in beer
Pumpkin (canned),Mild earth spicy flavor. Pumpkins are fruits from the gourd family.
Pumpkin (fresh),Mild earth spicy flavor. Pumpkins are fruits from the gourd family.
Pumpkin Pie Spice,"Often contains cinnamon, ginger, nutmeg, and cloves."
Raisins,"Dried grapes. Has a sweet prune like flavor. California discovered the commercial potential of raisins quite by accident. In 1873, a freak hot spell withered the grapes on the vine. One enterprising San Francisco grocer advertised these shriveled grapes as Peruvian Delicacies and the rest is history. California is now the world's leading producer of raisins."
Raspberries (fresh),Related to blackberries. Raspberries have a dull pink or reddish color. Tangy sweet.
Raspberries (frozen),Related to blackberries. Raspberries have a dull pink or reddish color. Tangy sweet.
Raspberries (pureed),Raspberries have a dull pink or reddish color.
Raspberry Extract,Flavor extract. Raspberries have a dull pink or reddish color.
Raspberry Syrup,Very sweet extract sugar syrup made from raspberries.
Rose Hips,Adds a unique mild floral flavor.
Rosemary,"Rosemary has a tealike aroma and a piney flavor. Rosemary is an herb in the mint family. It is a small evergreen shrub, Rosmarinus officinalis, whose 1inch leaves resemble curved pine needles."
Sassafras Bark,"One of the ingredients in root beer, contains volatile oils, 80% of which is safrole. The FDA banned its use as an additive in 1960, as safrole was found to cause liver cancer in rats. The sale of sassafras tea was banned in 1976. The root bark extract and leaves are now treated commercially to produce a safrole-free product, the root bark being used as a flavoring agent and the leaves for fil powder. The safrole free extract has, unfortunately, an inferior flavor. (Safrole is similar to thujone, which is found in wormwood, and was used to make absinthe --- banned since 1913). It is NOT possible to make a safrole free extract at home."
Seaweed,Seaweed is high in glutamate which has a basic and independent taste (known as Umami). Umami plays a major role in the flavorful appeal of many foods.
Sodium Erythorbate,"Protects finished beer against dissolved and head-space oxygen during brewing and packaging. Protection against oxidation continues during shipping, warehousing and retail storage. Extends shelf-life, maintains and stabilizes flavor, palatability and brilliance."
Spruce (essence),Spruce Essence adds to the foam of beer and will not impair the color. Typical use: 1 teaspoon per gallon.
Strawberries (fresh),Juicey red fruit with a crisp tangy sweetness. The strawberry is a member of the rose family and is unique in that it is the only fruit with seeds on the outside rather than the inside.
Strawberries (frozen),Juicey red fruit with a crisp tangy sweetness. The strawberry is a member of the rose family and is unique in that it is the only fruit with seeds on the outside rather than the inside.
Strawberries (pureed),Strawberries are juicey red fruits with a crisp tangy sweetness.
Strawberry Extract,Flavor extract. Strawberries are juicey red fruits with a crisp tangy sweetness.
Strawberry Syrup,Very sweet red syrup. The strawberry is a member of the rose family and is unique in that it is the only fruit with seeds on the outside rather than the inside.
Tarter,"Tartaric acid is a brownish-red acid powder (potassium bitartrate) that is precipitated onto the walls of casks used to age wine. When refined into a white acid powder, cream of tartar, it is used in baking. Cream of tartar is an acid powder. Combined with baking SODA it makes baking POWDER. Cream of tartar is also used to give a creamier texture to sugary things like candy and frosting and to stabilize and increase the volume of beaten egg whites. Cream of tartar can be used to clean brass and copper cookware."
Vanilla (extract),"Vanilla Beans have a sweet, perfumed aroma with a woody or smoky flavor. Pure Vanilla Extract has a similar aroma. To obtain Pure Vanilla Extract, cured Vanilla Beans are steeped in alcohol. According to law, Pure Vanilla Extract must be 35 percent alcohol by volume."
Vanilla (whole bean),"Vanilla Beans have a sweet, perfumed aroma with a woody or smoky flavor. Pure Vanilla Extract has a similar aroma. Vanilla Beans are the long, greenish-yellow seed pods of the tropical orchid plant, Vanilla planifolia. Before the plant flowers, the pods are picked, unripe, and cured until they're dark brown. The process takes up to six months."
Walnut (chopped),"Nutty rich, savory flavor. Walnuts are the fruit of a large deciduous tree belonging to the family Juglandaceae . Of the 60 varieties about 20 are edible. They are unique amongst nuts because most of the fat in walnuts is polyunsaturated which are said to lower cholesterol."
Walnut (extract),Has a rich savory nutty flavor. Extracts often contain alcohol.
Whirlfloc Tablets (Irish moss),Enhanced Irish Moss in convenient tablet form
Wintergreen Leaves (Dried),"Used in some specialty beers, especially Ethiopian beer"
Wyeast Nutrient,"Although wort is a good growth medium for yeast, additional Wyeast Nutrient will reduce lag time, improve yeast viability and provide consistent attenuation rates. Low assimilable nitrogen concentrations (FAN) of grape must or wort have long been known as a cause of sluggish or stuck fermentations. Wyeast yeast nutrient, a blend of vitamin B's, minerals, inorganic nitrogen (DAP), organic nitrogen (amino acids), zinc, phosphates and other trace elements will benefit yeast growth and carbohydrate uptake for a more rapid, complete fermentation. Use 1/4 tsp per pint for beer propagation, 1 tsp per 5 gallons for wine or beer fermentation or 1.5 oz per 10 barrels for beer fermentation."
Yeast Energizer,Helps revive stuck or slow fermentation
Yeast Nutrient (AKA Fermax),Helps yeast stay active during fermentation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
