Grain,Origin,Type,Manufacturer ,Must Mash?,"Color Low 
(Lovibond)","Lovibond_High 
(Lovibond)",SRM_Low,SRM_High,Power,Protein Total,Extract FG Min,Potential,% Moisture,Usage Max,Description,Source
Peated Malt,Germany,Specialty,BestMalz,Yes,1.7,3.6,1.54282,4.11656,250 WK,13,78,1.0360438,5.5,100,"Peated is smoked over a peat fire using the  available peat. The smoke imparts a strong smoky, phenolic flavor which is reflected in the malt aroma. Brewers can use up to 100% in the grain bill. Depending on the composition and intensity in the grain bill this malt will generate flavors from light to intense peat and earthy tastes. Great not only for beers but also for distillates.",http://www.bestmalz.de/en/malts/best-peated/?portfolioCats=33
Smoked Malt,Germany,Specialty,BestMalz,Yes,1.6,3.5,1.40736,3.9811,250 WK,13,77,1.0355817,5.5,100,Smoked gives beer a typical smoky flavor similar to that in smoked ham. The quantity used will influence the intensity of the beech wood or whisky flavor. This malt can not only be used for beer but also for distillate production. It has high enzymatic activity.,http://www.bestmalz.de/en/malts/best-smoked/?portfolioCats=33
Special X®,Germany,Specialty,BestMalz,Yes,115,150,155.019,202.43,,,75,1.0346575,4.5,20,"Special X® imparts to beer – depending on the amount in the grist – a smooth roasty flavor reminiscent of raisins or dried fruit. The beer possesses a chestnut to dark hue (depending on rate) and an aromatic and harmonious full-bodied character. The malt does not, however, introduce bitter roasted flavors but rather brings a mild smoothness to beer without any of the astringent qualities associated with other dark malts. Special X® is a cool and “crafty” malt-product. Any craft-brewer should try-out this malt in his or her creations and impress with a rich mix of flavors.",http://www.bestmalz.de/en/malts/best-special-x/
Acidulated Malt,Germany,Specialty/Adjunct,BestMalz,No,3.5,4.5,3.9811,5.3357,,12,76,,8,5,"Acidulated Malt reduces the pH of the mash. This results in improved enzyme activity of the mash, greater yield and flavor stability as well as a lighter color and a balanced aroma in the finished beer. It also represents an interesting alternative for breweries that have no mash acidification.",http://www.bestmalz.de/en/malts/best-acidulated-malt/?portfolioCats=33
Best Chit Malt,Germany,Specialty/Adjunct,BestMalz,Yes,1.2,1.6,0.86552,1.40736,250 WK,12,50,1.023105,4.9,15,"Chit Malt is used for balancing the characteristics of strongly solubilized malt. When using this malt, foam formation is promoted and foam stability increased. The malt is produced from the same two-rowed spring barley as used for all other MALZ malt types.",http://www.bestmalz.de/en/malts/best-chit-malt/
Heidleberg Wheat Malt,Germany,Specialty/Adjunct,BestMalz,Yes,1.4,1.8,,,250 WK,13,82,1.0378922,5.5,75,Heidelberg Wheat Malt emphasizes the effervescent freshness and the typical top-fermented flavor of wheat beer. It can be used for light-colored beers. It is produced from high quality brewing wheat. Malting processes adapted to the raw material highlight the particular qualities of this malt.,http://www.bestmalz.de/en/malts/best-heidelberg-wheat-malt/
Spelt Malt,Germany,Specialty/Adjunct,BestMalz,Yes,1.9,2.8,1.81374,3.03288,,14,82,1.0378922,5.5,60,"Weyermann® Spelt Malt conveys a strong emphasis on typical spelt aromas, along with delivering soft malt notes along with hints of hazelnut aromas, and biscuit flavors.",https://bsgcraftbrewing.com/weyermann-spelt-malt
Wheat Malt,Germany,Specialty/Adjunct,BestMalz,Yes,1.8,2.7,1.67828,2.89742,250,13.5,82,1.0378922,5.5,60,Wheat Malt emphasizes the effervescent freshness and the typical top-fermented flavor of wheat beer. It is produced from high quality brewing wheat. Malting processes adapted to the raw material highlight the particular qualities of this malt.,
"Wheat Malt, Dark",Germany,Specialty/Adjunct,BestMalz,Yes,6.5,8,8.0449,10.0768,250 WK,14,82,1.0378922,5.5,60,"Wheat Malt Dark emphasizes the effervescent freshness and the typical top- fermented flavor of wheat beer, very much like our brighter version  Wheat Malt does. This malt, however, adds color and intensifies the aroma. It is produced from high quality brewing wheat. Malting processes adapted to the raw material highlight the particular qualities of this malt.",http://www.bestmalz.de/en/malts/best-wheat-malt-dark/
Vienna Malt,Germany,Base,BestMälz,Yes,3.5,4.2,3.9811,4.92932,220,12,80.5,1.03719905,4.9,100," Vienna deepens the light and brilliant color of the beer and creates a pleasant, full-bodied and malty taste. Selected malting barley is used to produce the malt and it is created according to a special malting process. This malt has a high enzymatic potential.",
Organic Roasted Barley,United States,Roasted,Breiss,No,300,300,405.62,405.62,0,,72,1.0332712,5,7,"Coffee, intense bitter, dry	Contributes color and rich, sharp flavor characteristic of Stouts and some Porters. Impacts foam color.",http://www.brewingwithbriess.com/Products/Roasted_Barley.htm#RoastedBarley
Ashburne® Mild Malt,United States,Base,Briess,Yes,5.3,5.3,6.41938,6.41938,65L,11.70%,77,1.0355817,3.5,50,"10-25% for malt flavor and aroma with any style.  Up to 50% for bock/doppelbock style beers with exaggerated maltiness. Use as base malt or high percentage specialty malt. Typically used in Mild Ale, Brown Ale, Belgian Ale and Barley Wine. Slightly darker with a higher dextrin level than Pale Ale Malt. Lends a higher residual maltiness/ mouthfeel.",http://www.brewingwithbriess.com/Assets/PDFs/Briess_PISB_AshburneMildMalt.pdf
Briess Brewer's Malt,United States,Base,Briess,Yes,1.8,1.8,1.67828,1.67828,140,11.5,80.5,1.03719905,4.2,100,"An American 2-Row malt of exceptional quality. Very consistent malt with a clean, sweet malty flavor. Excellent base for all American beer styles.",http://www.northernbrewer.com/briess-2-row-brewers-malt
Full Pint Brewer's Malt,United States,Base,Briess,Yes,1.7,1.7,1.54282,1.54282,150 L,"11.2%, S/T=40.8",81,1.0374301,4.6,100,"Single varietal base malt. Use as a base malt for all beer styles. Produced in small batches, making it an excellent fit for small batch craft brewing.",
Goldpils® Vienna,United States,Base,Briess,Yes,3.5,3.5,3.9811,3.9811,80 L,"12%, S/T=35",80,1.036968,3.5,100,"Use as base malt or high percentage specialty malt. Superb example of this classic malt. Less sweet than Pale Ale Malt. Offers complexity and depth with a toasted note at the finish.  Typically used in Vienna, Oktoberfest and Marzen beers. Use in any beer for rich malty flavor.",
Organic Brewers Malt,United States,Base,Briess,Yes,1.8,1.8,1.67828,1.67828,140 L,"12.5%, S/T=42",80.5,1.03719905,4,100,"Clean, sweet & mildly malty. Use as a base malt for all beer styles",
Pale Ale Malt ,United States,Base,Briess,Yes,3.5,3.5,3.9811,3.9811,85 L,11.7,80,1.036968,4,100,"Use as a rich malty base malt. Fullly modified, high extract, low protein. Not just a darker Base Malt. A unique malting recipe results in the development of its unique flavor. Sufficient enzyme level supports the inclusion of even the most demanding specialty malts without extending the brewing cycle. A US alternative to British or Belgian pale ale malts. Slightly darker than 2-row. Yields richer, maltier flavors than standard 2-row.",
Pilsen Malt,United States,Base,Briess,Yes,1.2,1.2,0.86552,0.86552,140 L,11.3,80.5,1.03719905,4.5,100,"Exceptionally light color. Produces very light colored, clean, crisp wort. Use as base malt for all beer styles. Excellent choice for lagers. Allows the full flavor of specialty malts to shine through.",http://www.brewingwithbriess.com/Products/Base.htm
Synergy Select Pilsen Malt,United States,Base,Briess,Yes,1.8,1.8,1.67828,1.67828,100 L,10.9,83.3,1.03849293,4.4,100,"True European-style Pilsen Malt rich in flavor, high in extract and low in protein with moderate enzymes and FAN. Made from hand picked Synergy Barley grown in the flood-irrigated, semi-arid plains of the Bighorn Basin in Northern Wyoming.",
Aromatic Munich Malt 20L,United States,Color,Briess,Yes,20,20,26.332,26.332,20 L,11.70%,77,1.0355817,2.5,50,"European-style Munich Malt with clean, malty flavor.",
Bonlander®Munich Malt 10L,United States,Color,Briess,Yes,10,10,12.786,12.786,40 L,"11.7, S/T=38",78,1.0360438,3.3,50,"European-style Munich Malt with clean, malty flavor.",
Organic Bonlander® Munich Malt 10L,United States,Color,Briess,Yes,10,10,12.786,12.786,30 L,,76,1.0351196,3.3,50,"Clean, slightly sweet rich & malty. A European-style Munich malt for a clean, malty flavor",
Victory® Malt,United States,Color,Briess,Yes,28,28,37.1688,37.1688,,,75,1.0346575,2.5,25,Well suited for Nut Brown Ales & other dark beers. Its clean flavor makes it equally well suited for ales and lagers alike. Use in small amounts to add complexity to lighter colored ales and lagers.,http://www.brewingwithbriess.com/Products/Roasted.htm
Caramel Malt - 10L,United States,Crystal,Briess,No,10,10,12.786,12.786,0,,77,1.0355817,7,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt - 20L,United States,Crystal,Briess,No,20,20,26.332,26.332,0,,76,1.0351196,6,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt - 30L,United States,Crystal,Briess,No,30,30,39.878,39.878,0,,77,1.0355817,5.5,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt - 40L,United States,Crystal,Briess,No,40,40,53.424,53.424,0,,77,1.0355817,5.5,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt - 60L,United States,Crystal,Briess,No,60,60,80.516,80.516,0,,77,1.0355817,5,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt - 80L,United States,Crystal,Briess,No,80,80,107.608,107.608,0,,76,1.0351196,4.5,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt - 90L,United States,Crystal,Briess,No,90,90,121.154,121.154,0,,75,1.0346575,4,15,"Adds body, color and improves head retention. Also called Crystal malt.",
Caramel Malt -120L,United States,Crystal,Briess,No,120,120,161.792,161.792,0,,75,1.0346575,3,15,"Adds body, color and improves head retention. Also called Crystal malt. Very Dark",
Caramel Munich Malt - 60L,United States,Crystal,Briess,No,60,60,80.516,80.516,0,,77,1.0355817,3.5,50,"This darker colored, more intensely flavored caramel munich malt is excellent in IPAs, Pale Ales, Oktoberfests and Porters. Imparts amber to red hues.",
Caramel Vienne Malt - 20L,United States,Crystal,Briess,No,20,20,26.332,26.332,0,,78,1.0360438,4.5,10,This caramel malt adds flavors unique to Vienna-style lagers and Belgian-style Abbey Ales. Imparts golden hues.,
Organic Caramel Malt 120L,United States,Crystal,Briess,No,120,120,161.792,161.792,0,,70,1.032347,6,15,"Pronounced caramel, burnt sugar, raisins, prunes",
Organic Caramel Malt 20L,United States,Crystal,Briess,No,20,20,26.332,26.332,0,,73,1.0337333,6,15,candylike sweetness and mild caramel,
Organic Caramel Malt 60L,United States,Crystal,Briess,No,60,60,80.516,80.516,,,80,1.036968,5.5,15,Sweet pronouced caramel,
Organic Carpils® Malt,United States,Crystal,Briess,No,1.5,1.5,1.2719,1.2719,0,,73,1.0337333,6.5,5,"Use up to 5% for increased foam, improved head retention and enhanced mouthfeel in any beer style.",
Carapils® Copper Malt,United States,Dextrine-Style,Briess,No,30,30,39.878,39.878,0,,75,1.0346575,5.5,30,"Unique dextrine-style malt that not only adds body, foam retention, and beer stability but also color and flavor",
Carapils® Malt,United States,Dextrine-Style,Briess,No,1.5,1.5,1.2719,1.2719,0,,75,1.0346575,6.5,5,"The original Carapils® Malt is a unique, dextrine-style malt that consistently increases foam, improves head retention and enhances mouthfeel without adding flavor or color to your beer. The top performing malt in the dextrine-malt category. Carapils® Malt is produced exclusively by Briess using a proprietary process.",
Black Malt,United States,Roasted Malt,Briess,No,500,500,676.54,676.54,0,,,1,6,10,Dry roasted flavor. Use in dark beers for flavor. Use in small quanitites for color with little or no flavor. Has little impact on foam color,
Blackprinz® Malt ,United States,Roasted Malt,Briess,No,500,500,676.54,676.54,0,,,1,6,10,"Subtle, smooth, no bitter, astringent or dry flavors or aftertaste.  Very delicate, clean flavor, mild, roasted malty flavor. Use as 1:1 replacement to debittered black malt.  Blackprinz® Malt delivers colors plus more roasted flavor than Midnight Wheat Malt.",
Cara®brown Malt,United States,Roasted Malt,Briess,No,55,55,73.743,73.743,,,79,1.0365059,2.2,25,"Carabrown® Malt was developed on the light side of the brown malt style in order to retain some residual sweetness while still delivering an assortment of lightly toasted flavors. Especially good in brown ales, porters and stouts, it adds complexity and color to bitter, pale, mild and Belgian ales, wheats, Bock, Oktoberfest and Scotch Ales. Adds subtle flavor and color to many styles",http://www.brewingwithbriess.com/Products/Roasted.htm
Chocolate Malt,United States,Roasted Malt,Briess,No,350,350,473.35,473.35,0,,,1,5.5,10,"FLAVOR: Rich Roasted Coffee COLOR: Brown Hues, depending upon usage color adj with minor/no flavor contribution 1-10% for color in Porter, Stout, Brown Ale. Use in all styles for color adjustment",
Dark Chocolate Malt,United States,Roasted Malt,Briess,No,420,420,568.172,568.172,0,,,1,5.5,10,"FLAVOR: Rich Smooth Coffee Use in higher percentages in dark styles like Porter, Stout and Brown Ale. Use in all styles for color adjustment.",
Organic Black Malt,United States,Roasted Malt,Briess,No,500,500,676.54,676.54,0,,70,1.032347,6,10,"1-3% = all styles for color with little or no flavor, 1-10% for porters, brown ales and stouts. Dry roasted, sharp to neutral flavor. Has little impact on foam color. Use in dark beers for flavor. Use in smaller quantities for color with little or no flavor. ",
Organic Chocolate Malt,United States,Roasted Malt,Briess,No,500,500,676.54,676.54,0,,70,1.032347,5.5,10,"1-3% = all styles for color with little or no flavor, 1-10% for porters, brown ales and stouts. Rich roasted coffee & cocoa flavors. ",
Special Roast Malt,United States,Roasted Malt,Briess,Yes,40,40,53.424,53.424,,,72,1.0332712,2.5,10,"Complex flavored Biscuit-style Malt. Proprietary  malting process intensifies biscuity flavors, develops noticeable bran flake notes and creates its distinguishing bold sourdough/tangy flavor.",http://www.brewingwithbriess.com/Products/Roasted.htm
Applewood Smoked Malt,United States,Specialty,Briess,Yes,6,6,7.3676,7.3676,140 L,12.00%,80,1.036968,6,60,"Produced using apple wood. Use in a variety of beer styles to develop subtle background flavor, complexity or rich, robust smoky flavor.",http://www.brewingwithbriess.com/Products/Kilned.htm
"Barley, Flaked",United States,Specialty,Briess,Yes,1.4,1.4,1.13644,1.13644,0,12.5,70,1.032347,9,25,"Use Barley Flakes as an adjunct in all-grain brews to produce a lighter colored finished beer without lowering the original gravity. Use in place of corn as an adjunct to eliminate corn flavor in the finished beer. Use at 10-25% of total grist to produce a light colored, mild flavored, dry beer",http://www.brewingwithbriess.com/Products/Adjuncts.htm#BarleyFlakes
Black Barley ,United States,Specialty,Briess,Yes,500,500,676.54,676.54,0,,,1,6,7,"Contributes color and rich, sharp flavor characteristic of Stouts and some Porters. Impacts foam color.",http://www.brewingwithbriess.com/Products/Roasted_Barley.htm
Black Malted Barley Flour,United States,Specialty,Briess,Yes,500,500,676.54,676.54,0,,,1,6,10,"Dry roasted, sharp to neutral flavor. Useful for color adjustment in all beer styles",http://www.brewingwithbriess.com/Products/Dark_Roasted.htm#Flour
Caracrystal® Wheat Malt 55L,United States,Specialty,Briess,Yes,55,55,73.743,73.743,,,78,1.0360438,4,25,"Recommended for all beer styles using caramel malts such as IPAs, Pale Ales, low alcohol beers, wheat beers, Bock beers, and session beers where a touch of subtle caramel plus smooth dark toast flavor is beneficial. Use in any beer style to add sweetness plus smooth flavors or to develop complex flavors. Contributes orange to mahogany hues.",http://www.brewingwithbriess.com/Products/Caramel.htm
Caramel Rye Malt,United States,Specialty,Briess,Yes,60,60,80.516,80.516,,,80,1.036968,4.5,20,Smooth and subtle yet complex rye malt with slight sweetness. Touches of caramel and bread crust flavors that complement the spicy characterisic of rye. Use to add depth and subtle flavor to many styles of beer.,http://www.brewingwithbriess.com/Products/Caramel.htm
Cherrywood Smoked Malt,United States,Specialty,Briess,Yes,5,5,6.013,6.013,140 L,12,80,1.036968,6,60,"Produced using cherry wood. Use in a variety of beer styles to develop subtle background flavor, complexity or rich, robust smoky flavor.",http://www.brewingwithbriess.com/Products/Kilned.htm
"Corn - Yellow, Flaked ",United States,Specialty,Briess,Yes,0.8,0.8,0.32368,0.32368,0,10,75,1.0346575,8,40,"Using Yellow Corn Flakes as an adjunct produces a lower color in the finished beer without lowering the original gravity.Yellow Corn Flakes produce a beer with a mild, less malty flavor. Yellow Corn Flakes produce a drier, more crisp beer.produce a beer with a mild, less malty flavor produce a drier, more crisp beer. APPLICATIONS Use up to 40% as a cereal adjunct in the total grist",http://www.brewingwithbriess.com/Products/Adjuncts.htm#RyeFlakes
Extra Special Malt,United States,Specialty,Briess,Yes,130,130,175.338,175.338,,,73,1.0337333,2.5,15,"This hybrid drum roasted malt has a flavor very different than Caramel Malt 120. A proprietary drum roasting process develops both caramel and dry roasted flavors. Good in high gravity beers like Doppelbock, and mid to dark belgian style ales. Adds complexity to Abbey and darker styles like dry Irish Stouts and Porters. Or use in lighter colored, lighter gravity beers for rich, complex flavor.",http://www.brewingwithbriess.com/Products/Roasted.htm
Light Roasted Barley ,United States,Specialty,Briess,No,300,300,405.62,405.62,0,,,1,5,7,"FLAVOR: Coffee, Intense Bitter COLOR: Red to Deep Brown Use 3-7% for coffee flavor in Porter and Stout Use 2-5% in Nut Brown Ales. Use Chocolate Malt or Black Malt in combination with Roasted Barley to obtain desired color.",
Mesquite Smoked Malt,United States,Specialty,Briess,Yes,5,5,6.013,6.013,140 L,12,80.5,1.03719905,6,60,"Mesquite Smoked Malt delivers a mellow mesquite smoke flavor without the harshness that mesquite can deliver. This toned down flavor is achieved through a blend of mesquite and other hardwoods. Use in a variety of beer styles to develop complexity or rich, robust smoky flavor.",http://www.brewingwithbriess.com/Products/Kilned.htm
Midnight Wheat Malt,United States,Specialty,Briess,Yes,550,550,744.27,744.27,,,,1,6.5,7,"Subtle, smooth, not bitter, astringent. No dry flavors or aftertaste. Starts slightly sweet, with subtle roasted flavor and finishes very clean",
"Oats, Flaked",United States,Specialty,Briess,Yes,2.5,2.5,2.6265,2.6265,0,14,70,1.032347,7.5,25,"Adds body, mouth feel and head retention to the beer Used in oatmeal stouts and porters Adds substantial protein haze to light beers Protein rest recommended unless flakes are pregelatinized",
"Rye, Flaked",United States,Specialty,Briess,Yes,3,3,3.3038,3.3038,0,13,71,1.0328091,9,40,Use up to 40% as a cereal adjunct in the total grist to create Rye Beer. Start at 5-10% and increase in increments of 5% because of the concentrated flavor of Rye Flakes.,
"Rye, Malted",United States,Specialty,Briess,Yes,3.7,3.7,4.25202,4.25202,,,,1,4.5,35,"Lends a spicy rye flavor to roggenbiers, ryePAs, and more. Fully modified, rice hulls recommended if used for more than 20% of the mash.",http://www.northernbrewer.com/briess-rye-malt
"Wheat Malt, Red",United States,Specialty,Briess,Yes,2.3,2.3,2.35558,2.35558,,,81,1.0374301,4,40,"Use as part or all of base malt in wheat beers. Runs efficiently through the brewhouse with slightly higher protein than White Wheat Malt. Often used in Hefeweizen and other traditional wheat styles due to a distinctive, characteristic wheat flour flavor. Improves head and foam retention in any beer style.",http://www.brewingwithbriess.com/Products/Wheat.htm
"Wheat, Torrified",United States,Specialty,Briess,Yes,1.5,1.5,1.2719,1.2719,0,11,76,1.0351196,8.5,40,"Torrified Wheat is short for Insta Grains® Soft Red Wheat Whole Kernel. Heat treated to break the cellular structure, allowing more rapid hydration and malt enzymes to more completely attack the starches and protein. Use up to 40% of the total grist bill.",
