Adjunct,Type,Description,Mashing,Color,PPG
Oats (Pregelatinized Flakes),Oats,"Characteristics & Applications: • Pregelatinized Oat Flakes have been produced specifically for brewing, developing characteristics necessary for easy and efficient use in a brewhouse. The process of gelatinizing makes the starches readily soluble and digestible by the naturally occurring enzymes in barley malt. This allows the flakes to be incorporated directly into the mash with other grains. • Because flakes have a large surface area and are pre-cooked, they hydrate and disintegrate quickly. Filtration time will be normal. • There is no need to mill Oat Flakes. However, they can be put through the mill if that is the easiest means of adding them to the mash. • Oat Flakes have been dehulled before being cooked and flaked. Although the flakes are readily attacked by the malt enzymes, yield will be slightly lower than with other Pregelatinized Flakes. • Oat Flakes have a very distinctive “sticky” mouthfeel which is noticeable even when used in small amounts. • Use 5-25% of the total grist for an Oatmeal Stout. • Use a small percentage in Belgian Wit Beers.",Yes,0,36.3
Oats Flaked,Oats,"Belgian White Ale(wit), other specialty beers.",Yes,2.2,30.7
Oats Raw,Oats,"Adds body, mouth feel and head retention to the beer Creates chill haze in lighter beers, so is primarily used in dark ones.",Yes,2.2,32.7
Rice (Pregelatinized Flakes),Rice,"Characteristics & Applications: • Pregelatinized Rice Flakes have been produced specifically for brewing, developing characteristics necessary for easy and efficient use in a brewhouse. The process of gelatinizing makes the starches readily soluble and digestible by the naturally occurring enzymes in barley malt. This allows the flakes to be incorporated directly into the mash with other grains. • Because flakes have a large surface area and are pre-cooked, they hydrate and disintegrate quickly. Filtration time will be normal. • There is no need to mill Rice Flakes. However, they can be put through the mill if that is the easiest means of adding them to the mash. • Pregelatinized Rice Flakes are made from medium-grain rice and produce a light, clean and crisp characteristic to the finished beer. • Use a slightly lower conversion temperature and extend the conversion time 15 minutes to obtain maximum efficiency. • Use up to 40% as a cereal adjunct in the total grist.",yes,1,29.4
Rice Flaked,Rice,"Used to add fermentables without increasing body or flavor. Produces a milder, less grainy tasting beer. Examples: American lagers, Bohemian lagers, Pilsners",Yes,0.5,37.6
Rice Flakes,Rice,"Mash Ready Rice Flakes will provide a light, crisp finish to your beer. Can be used in amounts of up to 25% of grist total.",Yes,0.7,36.2
Rice Hulls,Rice,"Rice Hulls are used as a filter medium, mostly used in all grain wheat beers to help prevent a stuck mash.",Yes,0,0
Rice Raw,Rice,Lightens flavor without taste. Use in American and Asian lagers.,Yes,0.5,37.6
Rice Syrup,Sugar,"Used like other rice adjuncts in American and Japenes lagers to provide a dry, clean taste and light body. Adds gravity without changing body or flavor substantially. Use in place of corn sugar in small quantities.",No,1.43,35.8
Rye (Pregelatinized Flakes),Rye,"Characteristics & Applications: • Pregelatinized Rye Flakes have been produced specifically for brewing, developing characteristics necessary for easy and efficient use in a brewhouse. The process of gelatinizing makes the starches readily soluble and digestible by the naturally occurring enzymes in barley malt. This allows the flakes to be incorporated directly into the mash with other grains. • Because flakes have a large surface area and are pre-cooked, they hydrate and disintegrate quickly. Filtration time will be normal. • There is no need to mill Rye Flakes. However, they can be put through the mill if that is the easiest means of adding them to the mash. • Pregelatinized Rye Flakes are made from choice rye that is guaranteed ergo-free. Rye Flakes contribute a very clean, distinctive rye flavor. • Use up to 40% as a cereal adjunct in the total grist to create Rye Beer. • Start at 5-10% and increase in increments of 5% because of the concentrated flavor of Rye Flakes.",Yes,4.6,29.9
Rye Flaked,Rye,"Imparts a dry, crisp character. Use in rye beers.",Yes,2.8,31.7
Rye Flakes,Rye,"Mash Ready Rye Flakes will lend a dry, crisp character and a strong rye flavor. Can be used in amounts of up to 20% of grist total, but 5 - 10% is preferred.",Yes,2,32.8
Rye Raw,Rye,Contributes glyco-proteins to enhance foam stability.,Yes,2.8,35.7
Soft Red Wheat (Pregelatinized Flakes),Wheat,"Characteristics & Applications: • Pregelatinized Red Wheat Flakes have been produced specifically for brewing, developing characteristics necessary for easy and efficient use in a brewhouse. The process of gelatinizing makes the starches readily soluble and digestible by the naturally occurring enzymes in barley malt. This allows the flakes to be incorporated directly into the mash with other grains. • Because flakes have a large surface area and are pre-cooked, they hydrate and disintegrate quickly. Filtration time will be normal. • There is no need to mill Red Wheat Flakes. However, they can be put through the mill if that is the easiest means of adding them to the mash. • Pregelatinized Red Wheat Flakes can be used in place of Wheat Malt to make Wheat Beer. Flakes will yield a different flavor profile than Wheat Malt. • Use up to 40% as a cereal adjunct in the total grist • Use in the production of Belgian Wit Beers • Use 0.5-1.0% to a standard brew to increase foam stability.",Yes,1.6,32.4
Torrified Barley,Barley,A whole kernel version of our popular barley flakes. This is a whole kernel grain and will require milling.,Yes,0,32.2
Torrified Wheat,Wheat,"Helps head retention and mouthfeel, used in some pale ales.",Yes,1.25,31.7
Torrified Wheat,Wheat,A whole kernel version of our popular wheat flakes. This is a whole kernel grain and will require milling.,Yes,1,34.4
Treacle,Sugar,"Imparts intense, sweet flavor. A British mixture of molasses, invert sugar and golden syrup (corn syrup). Use in dark English ales.",No,100,35.8
Wheat Flaked,Wheat,"Belgian White Ale(wit), other specialty beers.",Yes,2,35.7
Wheat Flakes,Wheat,Mash Ready Wheat Flakes will greatly increase head retention and body when used in an amount as low as 8% of your total grist. Can be used in amounts of up to 40% of grist total.,Yes,0,34.4
Wheat Raw,Wheat,Contributes glyco-proteins to enhance foam stability.,Yes,2,35.7
White Table Sugar (Sucrose),Sugar,Common household table/baking sugar. Lightens flavor and body of beer. Can contribute a cider-like flavor to the beer if not cold-fermented or used in large quantities.,No,0,45.8
Yellow Corn (Pregelatinized Flakes),Corn,"Characteristics & Applications: • Pregelatinized Yellow Corn Flakes can be used as a cereal adjunct. The flakes can be added to the mash without first using a cereal cooker. The pregelatinized flakes will give a higher yield and a more trouble-free brew than a conventional flaked corn. Also, the corn has been degermed (the oil removed), thus eliminating rancidity. • Using Pregelatinized Yellow Corn Flakes as an adjunct produces a lower color in the finished beer without lowering the original gravity. • Pregelatinized Yellow Corn Flakes produce a beer with a mild, less malty flavor • Pregelatinized Yellow Corn Flakes produce a drier, more crisp beer. • Use up to 40% as a cereal adjunct in the total grist • Add directly to the mash with the malts. Do not mill. A single or multiple temperature infusion can be used. Conversion time and lautering time will be normal.",Yes,0,35.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
