Variety,Origin,Type,Alpha_Acid_LOW,Alpha_Acid_HIGH,Beta_Acid_LOW,Beta_Acid_HIGH,Total_Oil_LOW,Total_Oil_HIGH,Co_Humulone_LOW,Co_Humulone_HIGH,Myrcene_LOW,Myrcene_HIGH,Caryophyllene_LOW,Caryophyllene_HIGH,Humulene_LOW,Humulene_HIGH,Description,Aroma,Beer Styles,Substitutions
East Kent Goldings,United Kingdom,Aroma,4.4,6.7,2,2.7,0.7,1,29,30,25,35,10,15,35,45,"Developed from wild Canterbury Whitebine in the late 1700s, East Kent Godling is the quintessential English variety. It has been used in kettle and dry hopping and is known for is subtle citrus, floral and herbal characteristics.","smooth and delicate with floral, lavender, spice, honey, earth, lemon, orange, grapefruit and thyme overtones.","Pale Ales, English Bitters, English Milds, English IPA, English Borwn Ales, English Barleywine, Stouts & Porters, Saisons, Christmas Ales, Golden Ales, Belgian Triple, Belgian Golden/Blonde, Irish Red, Scottish Ales,","U.K. Golding, First Gold, Whitbread Golding, Progress, U.S. Golding"
Ekuanot™,United States,Aroma,13,15.5,4,5,2.5,4,31,36,30,45,8,12,12,20,"Developed by Hop Breeding Company and released in 2014, Ekuanot™ Brand HBC 366 features pronounced aroma characteristics and extremely high oil content. This variety bursts out of the spring soil in vibrant yellow and gradually matures to a deep green color by fall harvest.","melon, berry, orange peel, lime, papaya, pine and fresh peppers","Pale Ales, IPAs","Citra, Galaxy"
Falconer's Flight 7C's®,United States,Aroma,9,10.5,4.7,5.1,1.7,1.7,0,48,0,70,0,20,0,55,"Developed by Hopunion LLC in 2011, Falconer's Flight hop pellets are an exclusive proprietary hop blend created to honor and support the legacy of Northwest brewing legend, Glen Hay Falconer. Proceeds from each Falconer's Flight purchase is contributed to the Glen Hay Falconer Foundation. These hop pellets are an excellent complement to many IPA and Pale Ale-oriented hop varieties.",strong fruit and citrus characteristics with layers of spicy and earthy overtones.,"US-Style IPAs, Pale Ales, Lagers, IBAs, Black IPAs, APAs","Citra, Simcoe, Amarillo, Falconer's Flight, Cascade, Centennial, Chinook, Columbus, Cluster, Crystal,"
Falconer's Flight®,United States,Aroma,9.5,12,4,5,1.6,4.6,20,25,,,,,,,"Developed by Hopunion LLC in 2010, Falconer's Flight hop pellets are an exclusive proprietary hop blend created to honor and support the legacy of Northwest brewing legend, Glen Hay Falconer. Proceeds from each Falconer's Flight purchase is contributed to the Glen Hay Falconer Foundation. These hop pellets are an excellent complement to many IPA and Pale Ale-oriented hop varieties.","distinct tropical, floral, lemon and grapefruit characteristics. ","India Pale Ale, Pale Ale, Lager","	Cascade, Columbus, Centennial"
Fuggle,United States,Aroma,4,5.5,1.5,2,0.7,1.2,25,32,40,50,6,10,20,26,Similar to English Fuggle but with slightly higher alpha.,"mild, wood, mint, grass, subtle fruit","English Pale Ale, Belgian India Pale Ale, Extra Special Bitter, Brown Ale, Red Ale","Fuggle (UK), Willamette, Styrian Golding, Tettnanger (GR)"
Gold,Slovenia,Aroma,3.5,6.5,3.5,5.9,1.3,2.3,,,,,,,,,"Daughter of Styrian Savinsjki Golding and released in 2009, Gold was bred to improve the agronomic values of the traditional Golding. Known for its distinct aroma, it is cultivated only in Slovenia.","honey, oregano, basil, nettle and hay",Belgian Ales,"Nugget, Galena"
Golding,United Kingdom,Aroma,4,6,2,3,0.7,1,23,28,25,35,13,16,35,45,"A classic British hop, Goldings have a background as East Kent Golding but are grown in Hereford and Worcester. They are complementary to Fuggles, providing floral and citrus overtones; an excellent selection for bitter, pale ale, ESB, blond, tripel, saison and kölsch-style beers.","fragrant, floral, zesty lemon, orange and grapefruit.","Winter Ale, Bitter, English Pale Ale, English Ale, Strong Ale, Copper Ale, Brown Ale, Summer Ale, Belgian Ale","Golding(US), Whitbread Golding Variety (WGV)"
Golding,United States,Aroma,3,6.5,2,3.5,0.4,1,25,28,25,35,10,15,35,45,"Golding hops consist of a group of traditional English aroma varieties which have been cultivated since 1790. The cultivar originated in England and the hops were named after villages in East Kent (Petham, Rothersham, Canterbury, Eastwell). US Golding is the Canterbury strain. It is susceptible to downy mildew, but has good pickability of small size, moderately compact cones.",delicate and sweet floral,"Bitter, Pale Ale, Belgian Ale, Belgian IPA, Barley Wine, Imperial Stout, Red Ale, Irish Stout, American Pale Ale","East Kent Golding, Fuggle, Willamette, Savinjski Golding, Progress, Whitbread Golding"
Hallertau,United States,Aroma,3.5,5.5,3.5,4.5,0.6,1,18,24,35,44,10,12,30,38,"*US Hallertau originates from the classic Hallertau variety of Germany. It is a noble aroma variety. Despite low yield and low resistance to disease, Hallertau remains a historic hop and is often celebrated in the production of purist recipes and traditional beer styles","noble, earthy, herbal","German Pilsner, Pale Ale, Wheat, American Lager","Liberty, Hallertau (US), Hallertauer Tradition"
Hallertauer Mittelfrüh,Germany,Aroma,3.5,5.5,3,4,0.7,1.3,17,24,10,20,7,10,30,35,"*This classic German aroma hop is often associated with Bavarian-style lager beers and distinguished by an intense, pleasantly-harmonic bitterness. At one time, this was the major Hallertau landrace variety with a highly acclaimed aroma profile.","mild, but spicy with floral and citrus notes","traditional lagers, belgian ales, European ales.","Liberty, German Tradition, Ultra"
Hallertauer Tradition,Germany,Aroma,5,7,4,5,1,1.4,26,29,20,25,10,15,45,55,"*Hallertau Tradition is a Hüll-bred fine aroma hop originating from Hallertau Mittelfrüher, Hallertauer Gold and Saaz. Bred specifically for fungus and disease resistance, it succeeded in that effort and also features higher alpha acids than its parent varieties, low cohumulone and higher myrcene. It was released for commercial production in 1989. Its oil profile contributes to a wonderfully earthy and grassy character atop a nose of nectar fruits. It is best used late in the boil, or for dry hopping. This utilization is preferential since its humulene content has been noted to dissipate rapidly when heated.","earthy, grass, nectar fruits","German/European Bocks, Wheat, Hefeweizen, Pilsner, Weissbier","Liberty, Hallertauer Mittelfruh, Ultra"
HBC 472,United States,Aroma,9,11,7,9,0,5,42,46,,,20,20,,,"Bred by Hop Breeding Company through open pollination of a wild American hop, subspecies neomexicanus, HBC 472 is a dual purpose variety still in experimental phase. The hop displays a unique aroma profile consisting of floral, wood, earth and coconut characteristics. When hopped aggressively in IPA style beers, citrus and grapefruit aromas emerge, along with a distinct whiskey.bourbon and coconut character in the background. These characteristics are especially evident in darker, malt-forward beers. HBC 472 lends itself well to full flavor beer styles such as pale ales, IPAs, porters, stouts and barrel-aged beers.","floral, wood, coconut and distinct whiskey/bourbon",,
Hersbrucker,Germany,Aroma,3,5.5,4,5.5,0.7,1.3,19,25,15,25,7,12,15,25,"*A landrace variety originating from the Hersbruck region of Southern Germany, Hersbrucker has expanded and is now widely grown throughout the Hallertau and Spalt regions. It displays a delicate aroma profile that is often compared to other noble varieties.","hay, tobacco and orange","Dunkel, Strong Ale, Pilsner, Altbier, Weizenbock, Golden Ale, Marzen, Pale Ale, Wheat, Specialty Ale, Hefeweizen, Light Ale, Lager","Hallertauer Tradition, Spalter Select, Mount Hood, Strisselspalter, Hallertau, Liberty"
Hersbrucker Pure,Germany,Aroma,4.2,5.2,2,2.8,0.5,0.7,25,27,22,25,10,13,25,29,"*The offspring of Hallertauer Mittelfrüh, Saaz and a wild German hop, Hersbrucker Pure was originally tested by brewing giant Anheuser Busch as a replacement for Hersbrucker. After their interest waned in the variety, it failed to catch on as a viable commercial prospect. It has an noble aroma and flavor profile similar to that of its parents",noble aroma,"Pilsner, Hefeweizen, Lager","Hersbrucker, Hallertauer Mittelfrüh"
Huell Melon,Germany,Aroma,6.9,7.5,7.3,7.9,0.7,0.9,25,30,35,37,5,10,10,20,"*Bred at the Hop Research Institute in Hüll, this hop variety has bold flavors and is not necessarily associated with typical hop variety aromas.",honeydew melon and strawberry,"Belgian Ales, Hefeweizens","Belma, Jarrylo"
Liberty,United States,Aroma,3,5,3,4,0.6,1.2,24,30,35,40,9,12,35,40,"*Bred in 1983, Liberty is an extension of the Hallertau hop family. It is a half-sister to Ultra, Mt. Hood and Crystal. Liberty demonstrates some tolerance to downy mildew, is susceptible to powdery mildew and has small size cones that can be difficult to harvest.","noble, delicate, floral bouquet, spice","Bock, Lager, Pale Ale","Hallertau, Mount Hood, Traditon"
Lublin/Lubelski,Poland,Aroma,3,5,2.5,3.5,0.7,1.2,25,30,25,35,9,11,35,40,"*Often thought to be a Polish hop, Lubelska actually originates in Zatec, Czechoslovakia. Sometimes marketed as Lublin or Lubelski, Lubelska’s high humulene content is trumped only by its rare, high levels of farnesene. This oil profile results in interesting aromas of magnolia and lavender. It is considered to very noble-like in character. Thought to be a landrace cultivar of Saaz, it is now a mainstay of Polish breweries.",noble character with aromas of lavendar and magnolia,"Pilsner, Lager","Saaz, Sterling"
Mandarina Bavaria,Germany,Aroma,7,10,5,5,2.1,2.3,31,35,70,72,1,5,5,15,"*Bred at the Hop Research Institute in Hüll, Mandarina Bavaria displays pleasant fruitiness in finished beers","citrus, fruity, tangerine","Belgian Ale, French Ale","Columbus, Nugget, Cascade(US)"
Mosaic®,United States,Aroma,10.5,14,3,4.5,0.8,3,21,25,48,55,3,8,10,15,"*Developed by Hop Breeding Company and released in 2012, Mosaic® Brand HBC 369 contains high alpha content and features a unique and complex aroma profile that translates favorably into a variety of beer styles. It is a daughter of Simcoe® Brand YCR 14 and a Nugget derived male. Mosaic® is named in honor of the artistic assortment of aromas and flavors it is capable of presenting","earthy, blueberry, tangerine papya, rose, blossoms, grass and bubble gum","India Pale Ale, Pale Ale, Double IPAs","Citra, Simcoe"
Motueka,New Zealand,Aroma,6.5,7.5,5,5,0.7,0.9,28,30,47,49,1,3,3.5,3.7,"*Bred as part of the Hops with a Difference programme, Motueka is an excellent hop in many applications from first kettle additions through late gifting. This hop offers a unique aroma and flavour profile suitable for producing bigger styles. Excellent when employed in multiple additions from a single hop bill and sits well on the palate to balance specialty malt sweetness. It is an excellent variety for a wide range of styles from Saison through to Pilsners. It is extremely versatile in the brewery","crushed fresh citrus, Mojito lime, lively lemon and lime tones with undercurrents of a tropical fruit","European Ale, English Ale, Dark Lager, Pilsner, Belgian Ales, Lager, Maibock, Ales","Saaz, Sterling"
Mount Hood,United States,Aroma,5,8,5,7.5,1,1.3,22,23,55,65,7,10,15,25,"*Released in 1989, Mount Hood is an American-bred cultivar stemming from Hallertau Mittelfrüher. Popular among American craft brewers, it makes a good aroma hop, with characteristics similar to a Hallertau or Hersbrucker and is also half-sister to Crystal, Ultra and Liberty.","herbal, pungent, spicy","Hefeweizen, Doppelbock, Russian Imperial Stout, Brown Ale, Golden Ale, Pale Ale, Amber Ale, Weizenbock, India Pale Ale, Holiday Lager, Bock, American Wheat, Alt Munich Helles, American Lager","Crystal, Strisselspalter, Hersbrucker"
Pacific Hallertau,New Zealand,Aroma,5,6.5,6,7,1.5,2.3,22,26,35,55,8,11,20,35,"*Bred in New Zealand, triploid aroma hop Pacifica, or Pacific Hallertau as it is sometimes known, is the result of open pollination breeding of German hop Hallertauer Mittelfrüher. The hop was released by HortResearch, New Zealand following promising brewing trials in 1994. Like Hallertauer Mittelfrüher, Pacifica is mostly known for its aromatic properties. It features moderately low cohumulone and higher carophyllene, which give it a spicy and decidedly floral aroma. Citrus notes are also evident and it is said to impart aromas of orange when used late in the boil.","Citrusy, spicy, orange and floral aromas",Porter,Liberty
Pacifica,New Zealand,Aroma,5,6,5.9,6.1,0.9,1.1,24,26,12,13,16.6,16.8,50.8,51,"*A triploid aroma type developed through the HortResearch, New Zealand Hop Breeding programme, Pacifica brings something of a blend of new and old-world taste descriptors to the brewers' forum. It is ideally suited to traditional German lager styles but is finding wider application to a new generation through the international craft market's insatiable thirst for Pale Ale","orange zest marmalade, classic Hallertau characteristics with floral notes",Porter,Liberty
Palisade®,United States,Aroma,6.5,10,5.5,8,0.8,2,26,28,45,52,8,16,10,20,"*Developed by Select Botanicals Group, Palisade® Brand YCR 4 is known for its high yield and unique aroma profile. The variety has low susceptibility to powdery mildew but has good pickability of medium to large cones.","apricot, grass and clean floral characteristics","Golden Ale, Pale Ale, English Ales, American Pale Ale","Styrian Golding, Willamette, Glacier, Chinook"
Riwaka,New Zealand,Aroma,4.5,6.5,4,5,1.4,1.6,31,33,67,69,3.9,4.1,8.9,9.1,"*A triploid aroma type bred during the development of New Zealand Hops “Hops with a Difference” programme, Riwaka is a quintessential New Zealand hop variety. The pure weight of the oil character experienced during selection carries right through to the glass and is a punchy addition to the New World styles of Pales Ale and New Zealand Pilsners.",powerful tropical passionfruit with grapefruit and citrus,"India Pale Ale, Pilsner, American Pale Ale",Czech Saaz
Saaz,Czech Republic,Aroma,3,4.5,3,4,0.4,0.7,25,30,20,25,10,12,40,45,"*The classic noble aroma hop with long and strong traditions, associated with the renowned pilsner lager.","mild with pleasant earthy, herbal and floral character","Bohemian-style beers, Continental lagers, Wheats, Pilsener lagers.","Polish Lublin, US Saaz, US Sterling, Tettnang"
Saaz Triploid B,New Zealand,Aroma,6.5,8.5,5,5.8,1,2,27,30,60,80,1,2,1,3,"*Formerly known as Belgian Saaz or B Saaz, Motueka is a premier New Zealand hop. Developed by HortResearch, this triploid was bred from Saaz and an unnamed New Zealand breeding strain and lends itself well to Lagers, Pilsners and Belgian Ales.",citrus and tropical fruit,"European Ale, English Ale, Dark Lager, Pilsner, Belgian Ales, Lager, Maibock, Ales","Saaz, Saaz (US), Sterling"
Santiam,United States,Aroma,5,7,6,8,1.3,1.5,22,24,27,36,7,8,23,26,"*Released in 1997 by the USDA, Santiam is a triploid selection from Tettnang, Hallertau Mittelfrüh and a cultivar derived from Cascade. It is an American aroma variety with noble hop characteristics","black pepper, floral and spice","American Blonde Ale, American Lager, India Pale Ale, American Pale Ale, Wheat, Bock","Tettnanger, Spalter, Spalter Select, Hallertau, Liberty"
Saphir,Germany,Aroma,2,4,4,7,0.8,1.4,12,17,25,40,9,14,20,30,*Saphir is a good aroma variety with a distinct hoppy tang and an average bitter value.,"spicy, fruity, floral with hints of tangerine","Pilsners, German lagers, Belgian whites","Hallertau Mittelfrüh, Hallertau Tradition, Spalter Select"
Savinjski Golding,Slovenia,Aroma,4.5,6,2.5,3.5,0.5,1,25,30,27,33,9,11,34,38,"*Originating from UK Fuggle, Styrian Savinjski Golding is a traditional Slovenian variety with pleasant bittering and noble aroma characteristics.",noble,"Extra Special Bitter, Ale, Lager, Belgian Ale","Fuggle, Willametter, Bobek"
Select,Germany,Aroma,3,6.5,2.4,5,0.6,0.9,21,27,20,40,4,10,10,22,"Also called Spalter Select *Bred at the Hop Research Center in Hüll and released in 1993, Select is often referred to as “Spalter Select.” It was bred to be like the Spalt, Tettnang, and Saaz groups.","spicy, grass","Kolsch, Marzen, Lager, Pilsner, Alt, Helles, Bock","Saaz, Tettnanger(GR), Spalt, Hersbrucker"
Spalt,United States,Aroma,3,6,3,5,0.5,1,20,25,35,55,3,7,10,20,"*A landrace variety originating from the Spalt region in Southern Germany, Spalt (or Spalter) is an aroma variety with characteristics similar to German Tettnang. It belongs to the Saaz group and displays fine, noble characteristics.","noble characteristics, earthy, herbal","German Ale, Lager, Pilsner, Bock, Kolsch","Saaz, Tettnanger, Spalt, Santiam, Liberty, Hallertau"
Spalter,Germany,Aroma,3.5,5.5,4,5.5,0.5,1.1,23,28,15,25,10,15,18,25,"*A landrace variety originating from the Spalt region in Southern Germany, Spalt (or Spalter) is an aroma variety with characteristics similar to German Tettnang. It belongs to the Saaz group and displays fine, noble characteristics.","noble characteristics, earthy, herbal","German Ale, Lager, Pilsner, Bock, Kolsch","Saaz, Tettnanger, Spalt, Santiam, Liberty, Hallertau"
Spalter Select,Germany,Aroma,4,6,3.5,4.5,0.5,1,21,25,15,25,7,11,15,25,"*Bred at the Hop Research Center in Hüll and released in 1993, Select is often referred to as “Spalter Select.” It was bred to be like the Spalt, Tettnang, and Saaz groups.",spicy & grass,"Kölsch, Belgian Ale, French Ale, Lager, Bock, Helles, Alt, Pilsner, Marzen","Saaz, Tettnanger, Spalt, Hersbrucker, Perle, Hallertau Tradition"
Strisselspalt,France,Aroma,3,5,3,5,0.6,0.9,20,25,20,30,8,10,15,25,"*Strisselpalt is from the Alsace area of France, near Strasbourg. It is globally accepted as a good aroma hop with similar characteristics to Hersbrucker.","spicy, citrusy, floral, fruity and herbal","Lager, Saison, Blonde Ale, Amber Ale, Belgian Ale, Bock, Maibock, Golden Ale, Belgian Pale Ale","Liberty, Hallertau, Mt Hood, Crystal, Hersbrucker"
Styrian Golding,Slovenia,Aroma,4.5,6,2,3,0.5,1,25,30,27,33,9,11,34,38,"*Styrian Golding or Savinjski Golding as it is commonly known, goes by a multitude of sometimes confusing aliases. Confusing still is the fact it actually doesn’t come from a Golding at all, but is rather the result of the clonal selection of Fuggle and as such exhibits many Fuggle-like characteristics. It was considered a major crop in the 1930’s in both Styria, a state in Austria and across the Savinja river in Slovenia (former Yugoslavia). Its staying power has been attributed to its disease resistance, specifically, its resistance to mildew. It is now world-renowned hop and in high demand. From a brewer’s perspective, Styrian Golding is a lovely aroma hop and exhibits resinous, earthy flavors that are perhaps considered slightly more refined than Fuggle","resinous, earthy, with notes of white pepper","Extra Special Bitter, Ale, Lager, Belgian Ale","Fuggle, Willamette, Bobek"
Summer,Australia,Aroma,5.6,6.4,4.8,6.1,1.4,2,20,25,29,38,8,11,28,50,"*Bred in 1997 at Tasmanian Bushy Park Breeding Garden, Summer™ is the result of open pollination of a tetraploid Czech Saaz. It features balanced citrus and stone fruit flavors, but showcases distinct apricot and melon characteristics in dry hopping applications",apricot and melon.,,
Sussex,United Kingdom,Aroma,4.3,5.8,2.4,3.2,0.4,0.6,32,43,42,42,,,23,23,"*Discovered in 2005 at Gate Court, Northiam in East Sussex, Sussex is a “chance find” variety. It is likely to have resulted from open pollination of a wild hop.","earthy, grass, mint, citrus and vanilla","English Ale, Pale Ale, Belgian Ale","Progress, Whitbread Golding, Fuggle"
Sylva,Australia,Aroma,5.6,7.3,3,4.6,1,1.4,20,25,26,36,5,8,18,27,"*Bred in 1997 at Tasmanian Bushy Park Breeding Garden, Sylva™ is a result of open pollination of Czech Saaz. Brewing characteristics closely resemble that of its parent, with complex yet subtle floral and herbal characteristics.","floral, herbal and noble characteristics.","Pilsner, Lager, California Common, Pale Ale","Hallertau Mittlefrüh, Helga, Saaz"
Tahoma,United States,Aroma,6,7.5,7,8,1.5,2,15,17,55,65,3,5,8,12,"*Released by Washington State University in 2013, Tahoma is one of three new public varieties to come to market. It retains the very low cohumulone characteristic of Glacier but displays slightly high alpha acid content. Tahoma is considered to be Cascade-like with a pleasant and predominantly citrus aroma profile.","lemon, grapefruit, cedar, pine, spice and pepper","Blonde Ale, Wheat, Lager",??
Tettnanger,United States,Aroma,4,5,3,4,0.4,0.8,20,25,36,45,6,7,18,23,"*This variety has created so much industry confusion. In fact, you can still find sites online that describe American Tettnanger as a true Tettnanger. In reality, it is a clone of rhizomes imported as Swiss Tettnanger. Recent tests have shown it to be genetically distinct from the original land race, Tettnang Tettnanger. Instead, the US varietal is more likely a Fuggle open pollinated with Tettnang Tettnanger. The original import was from a region in Switzerland directly across Lake Constance from Tettnang, Germany. American Tettnanger enjoyed some great popularity early on, being grown in Idaho, Washington and Oregon. It has noble hops aroma qualities with a bouquet of floral spice. However, in recent years, Anheuser Busch abandoned the variety. It is said that US Tettnanger is a good hop for the boil as well as dry hopping whereas the original German variety is better used as a late addition.","Floral, spice","Bitter, Blonde Ale, Red Ale, Pilsner, Lager, American Lager","Spalter Select, Santiam, Czech Saaz, Spalter"
Tettnanger,Germany,Aroma,3.5,5.5,3.5,5,0.6,1,23,29,20,25,6,10,20,25,"*A landrace variety originating from the Tettnang region on Lake Constance in Germany, Tettnang (or Tettnanger) is from the Saaz group. It displays fine, noble characteristics with a slight spiciness.","herbal, spicy, pepper and black tea","Bitter, California Blonde Ale, Red Ale, Pilsner, Lager, American Amber Ale, Winter Ale, Pale Ale, Wheat Beer, Bavarian Hefeweizen, Cream Ale, American Lager","Czech Saaz, Spalter, Santiam, Spalter Select, Saaz, Tettnanger (US)"
Tradition,Germany,Aroma,4,7,3,6,0.5,1,24,30,17,32,10,15,35,50,"*Bred at the Hop Research Institute in Hüll, Germany and registered in 1993, Tradition imparts beer with a harmonic bitterness.","medium to intense floral, herbal and grassy notes; some fruity aromas","Lagers, Pilsner, Bock, Wheat, Weizen ","Magnum, Hersbrucker, Taurus"
Triplepearl,United States,Aroma,10.3,11.2,3.3,4.2,1.1,1.8,,,,,,,7,11,"*Released by USDA-ARS in 2013, TriplePearl is an open pollinated cross between a tetraploid Perle female and an unknown diploid male. Its lineage includes Northern Brewer and Hallertau. TriplePearl is similar to Perle but features more pronounced aroma characteristics.","melon, orange, resin, spice and pepper",,
Triskel,France,Aroma,8,9,4,4.7,1.5,2,20,23,59,61,6,6.2,13.4,13.6,"*Developed in 2006 as a cross between Strisselspalt and Yeoman, Triskel contains many of the same characteristics as Strisselspalt but displays a more pronounced flavor profile.","spicy, strong floral, herbal, citrus","Belgian Ale, Saison, Kolsch, Pilsner, Pale Ale, India Pale Ale, Lager, Wheat","Strisselspalt, Ahtanum™, Centennial, Chinook, Simcoe®"
Ultra,United States,Aroma,2,3.5,3,4.5,0.5,1,23,38,15,25,10,15,35,50,"*Bred by the hops research program in Corvallis, Oregon in 1983 and released in 1995 by the USDA, Ultra is a triploid seedling of Hallertau mf. and half sister to Mt. Hood, Liberty and Crystal. It is resistant to downy mildew and features small size cones. Ultra is related to traditional German varieties and can be utilized in similar applications.","mild, spicy and floral bouquet","Oktoberfest, Blonde Ale, Harvest Ale, Lager, Pilsner, Pale Ale, American Lager, Bock","Tettnanger (GR), Saaz, Hallertauer Tradition, Liberty"
Vanguard,United States,Aroma,4,5,5,6,0.8,1.2,15,20,25,35,10,15,35,40,"*Bred in 1982 by the USDA and released in 1997, Vanguard is an aroma variety with similar characteristics to Hallertau Mittelfrüh. Vanguard is typically utilized in traditional German-style beers as a noble type variety.","woody, cedary ","Lagers, Pilsners, Bocks, Kolsch, Wheats, Munich Helles, Belgian-Style Ales","Hallertau, German Hersbrucker, Mt. Hood, Liberty"
Wai-iti,New Zealand,Aroma,2.5,3.5,4.5,5.5,1.6,1.6,22,24,,3,8.9,9.1,27.9,28.1,"*Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2011, Wai-iti is a granddaughter of Liberty and is derived from 1/3 Hallertau MIttelfrüh. Fresh peaches and stone fruit dominate the aroma in single hopped beers and when combining with other varieties in late additions. Wai-iti is best known for its fruity, aroma-driven results.","fresh peaches, apricot, limes with top notes of mixed citrus and spice","Pale Ale, India Pale Ale, Wheat Beer",Riwaka
Whitbread Golding,United Kingdom,Aroma,5.4,7.7,2,3.3,0.8,1.2,32,43,19,27,11,15,35,42,"*Developed through grower selection circa 1911, Whitbread Golding (WGV) is not a true Golding. It displays many similar characteristics but has more robust and slightly sweet, hoppy flavor.","Earthy, floral and botanical with sweet fruit flavors","Ale, Pale Ale, Bitter","Fuggle, East Kent Golding"
